name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Mere Naina Sawan Bhadon- Lata Mangeshkar,0.397,0.407,7,-7.638,0,0.0297,0.957,0.00337,0.124,0.305,133.616
Rain On Me (with Ariana Grande),0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056
tolerate it,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952
Oops!...I Did It Again,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053
Havana (feat. Young Thug),0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988
Bhor Bhaye Panghat Pe,0.368,0.381,9,-11.814,0,0.103,0.9,3.49e-06,0.0764,0.481,198.521
Love Story,0.618,0.736,2,-3.937,1,0.0308,0.157,0,0.073,0.307,118.982
Toxic,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04
On My Way,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087
Aye-Dil-E-Nadan,0.605,0.344,6,-11.941,1,0.0326,0.794,2.98e-06,0.083,0.407,101.024
hoax,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819
Thinking out Loud,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998
Sing Me to Sleep,0.474,0.622,4,-6.381,0,0.061,0.0129,3.82e-06,0.327,0.158,176.062
Happier Than Ever,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055
I Think He Knows,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003
Ae Ri Pawan,0.371,0.615,9,-7.837,1,0.0481,0.831,5.71e-05,0.148,0.483,88.164
The Spectre,0.654,0.711,1,-7.437,0,0.0383,0.0214,0.00191,0.0903,0.198,127.957
Your Power,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642
this is me trying,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74e-05,0.171,0.412,135.886
"Dil Hoom Hoom Kare (From ""Rudaali"") - Female Version",0.544,0.413,6,-7.188,1,0.0258,0.928,0.00209,0.128,0.35,99.789
Never Be the Same,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923
Sorry,0.545,0.556,5,-7.047,0,0.0481,0.437,0.0657,0.123,0.172,175.9
You Belong With Me,0.687,0.771,6,-4.424,1,0.0384,0.164,2.46e-05,0.112,0.445,129.964
Immortality (feat. Bee Gees),0.546,0.315,2,-11.208,1,0.0324,0.601,3.43e-06,0.0795,0.0756,82.951
Baharon Mera Jeevan Bhi Sanwaro,0.351,0.284,6,-12.03,1,0.036,0.967,0.00394,0.143,0.561,143.104
Lily,0.423,0.634,6,-5.877,0,0.0578,0.196,0,0.189,0.467,150.978
mad woman,0.592,0.699,3,-8.995,1,0.0471,0.655,1.68e-05,0.114,0.506,141.916
Real Friends,0.726,0.304,3,-8.677,1,0.131,0.839,0,0.0853,0.813,91.97
All By Myself,0.344,0.325,11,-10.005,0,0.0287,0.35,0.0223,0.0686,0.0775,118.515
"Alone, Pt. II",0.67,0.668,3,-4.306,0,0.0422,0.536,0,0.133,0.608,88.033
ME! (feat. Brendon Urie of Panic! At The Disco),0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162
Used to This,0.583,0.495,1,-7.681,0,0.0813,0.361,3.35e-06,0.348,0.364,100.047
