,Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed
0,Can't Hurt Me: Master Your Mind and Defy the Odds,"Goggins, David",,,366,4.35,101355,"Nov 15, 2018",not set,not set
1,The Psychology of Money,"Housel, Morgan",,,252,4.38,33273,"Sep 18, 2020",not set,not set
2,"Thinking, Fast and Slow","Kahneman, Daniel",9780374275631,0374275637,499,4.16,378576,"Oct 25, 2011",not set,not set
3,The 5 Love Languages: The Secret to Love that Lasts,"Chapman, Gary",,,232,4.24,343546,"Jan 01, 1990",not set,not set
4,Deep Work: Rules for Focused Success in a Distracted World,"Newport, Cal",9781455586691,1455586692,296,4.17,105693,"Jan 05, 2016",not set,not set
5,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,"Kondo, Marie",9781607747307,1607747308,213,3.85,314710,"Jan 15, 2011",not set,not set
6,The Power of Habit: Why We Do What We Do in Life and Business,"Duhigg, Charles",9781400069286,1400069289,375,4.11,408072,"Feb 28, 2012",not set,not set
7,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James",,,319,4.36,272844,"Oct 16, 2018",not set,not set
8,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"Covey, Stephen R.",9780743269513,0743269519,372,4.13,610802,"Jan 01, 1988",not set,not set
9,How to Win Friends and Influence People,"Carnegie, Dale",,,288,4.21,745252,Oct 1936,not set,not set
10,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"Manson, Mark",,,224,3.92,700925,"Sep 13, 2016",not set,not set
