Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed
"Ready Player One (Ready Player One, #1)","Cline, Ernest",9780307887436,030788743X,374,4.24,1054811,"Aug 16, 2011",not set,not set
"Leviathan Wakes (The Expanse, #1)","Corey, James S.A.",9781841499888,1841499889,592,4.29,229489,"Jun 02, 2011","Jan 07, 2022","Jan 23, 2022"
Daughter of the Deep,"Riordan, Rick",9781368077927,1368077927,352,4.24,16488,2021,"Dec 16, 2021","Dec 22, 2021"
"Children of Dune (Dune, #3)","Herbert, Frank",9780593098240,0593098242,609,3.95,153097,Apr 1976,not set,not set
"Dune Messiah (Dune, #2)","Herbert, Frank",9780593098233,0593098234,337,3.89,221131,Jul 1969,"Nov 09, 2021","Dec 16, 2021"
"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character","Feynman, Richard",9780393355642,0393355640,288,4.18,27503,1988,"Aug 16, 2021","Sep 09, 2021"
Wuthering Heights,"Brontë, Emily",,,464,3.88,1629047,Dec 1847,not set,not set
The Song of Achilles,"Miller, Madeline",,,378,4.38,1009088,"Sep 20, 2011",not set,not set
कायाकल्प,"Premchand, Munshi",,,,3.92,141,2007,not set,not set
The Book Thief,"Zusak, Markus",,,552,4.39,2279291,"Mar 01, 2006","Jul 30, 2021","Aug 13, 2021"
"Finale (Caraval, #3)","Garber, Stephanie",9781250157669,1250157668,478,4.21,103665,"May 07, 2019",not set,not set
"Legendary (Caraval, #2)","Garber, Stephanie",9781250095312,125009531X,451,4.22,133495,"May 29, 2018",not set,not set
"Caraval (Caraval, #1)","Garber, Stephanie",9781250095251,1250095255,407,4.0,307974,"Sep 29, 2016",not set,not set
Learn to Earn: A Beginner's Guide to the Basics of Investing and Business,"Lynch, Peter",9780684811635,0684811634,272,4.04,4184,1995,"Jul 06, 2021","Jul 11, 2021"
"Rich Dad, Poor Dad","Kiyosaki, Robert T.",9780751532715,0751532711,195,4.12,530009,1997,"Jul 06, 2021","Aug 19, 2021"
"Darkdawn (The Nevernight Chronicle, #3)","Kristoff, Jay",,,491,4.31,36370,"Sep 03, 2019",not set,not set
"Nevernight (The Nevernight Chronicle, #1)","Kristoff, Jay",9781250073020,1250073022,429,4.23,81278,"Aug 09, 2016",not set,not set
"Godsgrave (The Nevernight Chronicle, #2)","Kristoff, Jay",9781250073037,1250073030,419,4.47,49412,"Sep 05, 2017",not set,not set
"Pebble in the Sky (Galactic Empire, #3)","Asimov, Isaac",9780553293425,0553293427,308,3.89,22620,1950,not set,not set
The End of Eternity,"Asimov, Isaac",9780449016190,0449016196,192,4.24,51929,1955,not set,not set
The Gods Themselves,"Asimov, Isaac",9781857989342,1857989341,288,4.09,59287,1972,not set,not set
प्रतिज्ञा : Pledge,"Premchand, Munshi",,,97,4.05,397,1927,not set,not set
रंगभूमि,"Premchand, Munshi",,,,4.26,414,1925,not set,not set
वरदान,"Premchand, Munshi",9788181332998,8181332997,128,3.76,354,"Dec 31, 1899",not set,not set
Gaban,"Premchand, Munshi",9788122311969,8122311962,272,4.31,4446,1931,not set,not set
Nirmala,"Premchand, Munshi",9780195658262,0195658264,218,4.14,3735,"Dec 31, 1899",not set,not set
गोदान [Godaan],"Premchand, Munshi",9788172242190,8172242190,352,4.38,7844,1936,not set,not set
इंद्रजाल,"प्रसाद, जयशंकर",,,155,3.95,153,unknown,not set,not set
अजातशत्रु,"प्रसाद, जयशंकर",,8171831044,,3.72,60,"Jan 01, 2011",not set,not set
स्कंदगुप्त,"प्रसाद, जयशंकर",9788179873533,,120,4.07,45,1964,not set,not set
ध्रुवस्वामिनी,"प्रसाद, जयशंकर",,,81,4.03,148,unknown,not set,not set
कामायनी,"प्रसाद, जयशंकर",9788171783212,8126700386,159,4.26,565,1936,not set,not set
चन्द्रगुप्त,"प्रसाद, जयशंकर",,,226,4.09,583,"Jan 01, 1994",not set,not set
"Realm Breaker (Realm Breaker, #1)","Aveyard, Victoria",,,576,3.65,22907,"May 04, 2021","Jun 10, 2021","Jun 15, 2021"
"The Fifth Season (The Broken Earth, #1)","Jemisin, N.K.",,,468,4.32,219766,"Aug 04, 2015","Jun 19, 2021","Jun 26, 2021"
"The Obelisk Gate (The Broken Earth, #2)","Jemisin, N.K.",,,410,4.31,133716,"Aug 16, 2016","Jun 26, 2021","Jul 12, 2021"
"The Stone Sky (The Broken Earth, #3)","Jemisin, N.K.",,,416,4.35,112101,"Aug 15, 2017","Jul 12, 2021","Jul 29, 2021"
"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)","Adams, Douglas",9780345379337,0345379330,288,3.97,122297,"Oct 12, 1992",not set,not set
"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)","Adams, Douglas",,,225,4.09,161807,"Oct 12, 1984",not set,not set
"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)","Adams, Douglas",9780345418906,0345418905,224,4.18,219254,"Dec 29, 1982",not set,not set
"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)","Adams, Douglas",,,250,4.21,265388,"Oct 12, 1980","Jun 08, 2021","Jun 21, 2021"
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas",,,193,4.23,1695503,"Oct 12, 1979","May 29, 2021","Jun 08, 2021"
"A ​Sky Beyond the Storm (An Ember in the Ashes, #4)","Tahir, Sabaa",9780008288815,000828881X,516,4.34,44961,"Dec 01, 2020","May 28, 2021","Jun 04, 2021"
"Cytonic (Skyward, #3)","Sanderson, Brandon",9781473217935,1473217938,432,4.1,31130,"Nov 23, 2021","Nov 22, 2021","Dec 02, 2021"
"ReDawn (Skyward, #2.2)","Sanderson, Brandon",9780593566626,,229,4.22,11680,"Oct 26, 2021","Oct 29, 2021","Nov 05, 2021"
"Sunreach (Skyward, #2.1)","Sanderson, Brandon",9780593566619,,208,4.18,14322,"Sep 28, 2021","Sep 28, 2021","Sep 29, 2021"
"Gardens of the Moon (The Malazan Book of the Fallen, #1)","Erikson, Steven",,,772,3.91,106696,Apr 1999,not set,not set
"A Reaper at the Gates (An Ember in the Ashes, #3)","Tahir, Sabaa",9780448494500,0448494507,458,4.19,76852,"Jun 12, 2018","May 20, 2021","May 28, 2021"
"An Ember in the Ashes (An Ember in the Ashes, #1)","Tahir, Sabaa",,,446,4.26,259190,"Apr 28, 2015","May 14, 2021","May 17, 2021"
"A Torch Against the Night (An Ember in the Ashes, #2)","Tahir, Sabaa",,,467,4.25,139642,"Aug 30, 2016","May 17, 2021","May 20, 2021"
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)","Rowling, J.K.",9781408855652,1408855658,332,4.47,8942493,"Jun 26, 1997",not set,not set
"In Search of the Edge of Time: Black Holes, White Holes, Wormholes","Gribbin, John",9780140248142,0140248145,288,3.92,141,1992,not set,not set
The Birth of Time: How Astronomers Measure the Age of the Universe,"Gribbin, John",9780300083460,0300083467,237,3.88,164,"Mar 11, 1999",not set,not set
Einstein's Masterwork: 1915 and the General Theory of Relativity,"Gribbin, John",9781681772127,1681772124,240,4.03,222,"May 07, 2015",not set,not set
In Search of the Big Bang,"Gribbin, John",9780552131469,0552131466,432,3.95,262,1986,not set,not set
13.8: The Quest to Find the True Age of the Universe and the Theory of Everything,"Gribbin, John",9780300218275,0300218273,256,4.09,361,"Oct 01, 2015",not set,not set
Computing with Quantum Cats: From Colossus to Qubits,"Gribbin, John",9780593071151,0593071158,304,3.76,493,"Jun 20, 2013","May 14, 2021","Jul 03, 2021"
The Time Illusion (Kindle Single),"Gribbin, John",,,35,4.09,561,unknown,not set,not set
Deep Simplicity: Bringing Order to Chaos and Complexity,"Gribbin, John",9781400062560,140006256X,279,3.95,1235,2004,not set,not set
The Scientists: A History of Science Told Through the Lives of Its Greatest Inventors,"Gribbin, John",9780812967883,0812967887,672,4.11,1587,2002,not set,not set
In Search of the Multiverse,"Gribbin, John",9781846141133,1846141133,250,4.09,1195,"Aug 27, 2009",not set,not set
Uncle Tom's Cabin,"Stowe, Harriet Beecher",,,438,3.9,215882,1852,not set,not set
Hard Times,"Dickens, Charles",9780321107213,0321107217,353,3.54,63588,1854,not set,not set
Oliver Twist,"Dickens, Charles",,,608,3.88,362353,1838,not set,not set
A Tale of Two Cities,"Dickens, Charles",9780141439600,0141439602,489,3.86,895992,"Nov 26, 1859",not set,not set
"Beyond the Shadows (Night Angel, #3)","Weeks, Brent",9780316033664,0316033669,689,4.27,93958,"Dec 01, 2008",not set,not set
"Shadow's Edge (Night Angel, #2)","Weeks, Brent",9780316033657,0316033650,636,4.25,98451,Nov 2008,not set,not set
"The Way of Shadows (Night Angel, #1)","Weeks, Brent",9780316033671,0316033677,645,4.15,160130,Oct 2008,not set,not set
"The Horse and His Boy (Chronicles of Narnia, #5)","Lewis, C.S.",9780439861366,0439861365,224,3.91,320536,"Sep 06, 1954",not set,not set
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)","Lewis, C.S.",,,206,4.23,2543745,"Oct 16, 1950",not set,not set
"War Storm (Red Queen, #4)","Aveyard, Victoria",9780062422996,0062422995,662,3.85,132814,"May 15, 2018",not set,not set
"King's Cage (Red Queen, #3)","Aveyard, Victoria",9780062310712,0062310712,528,3.94,205250,"Feb 07, 2017",not set,not set
"The Blood Mirror (Lightbringer, #4)","Weeks, Brent",9780316251334,031625133X,704,4.33,42904,"Nov 16, 2015","May 07, 2021","May 09, 2021"
"The Burning White (Lightbringer, #5)","Weeks, Brent",9780316251303,0316251305,992,4.27,28111,"Oct 22, 2019","May 09, 2021","May 13, 2021"
"The Broken Eye (Lightbringer, #3)","Weeks, Brent",,,846,4.46,58885,"Aug 26, 2014","May 04, 2021","May 07, 2021"
"The Black Prism (Lightbringer, #1)","Weeks, Brent",9780316075558,0316075558,629,4.23,114863,"Aug 25, 2010",May 2021,"May 02, 2021"
"The Blinding Knife (Lightbringer, #2)","Weeks, Brent",9780316079914,031607991X,671,4.42,82391,"Sep 01, 2012","May 02, 2021","May 04, 2021"
"The Providence of Fire (Chronicle of the Unhewn Throne, #2)","Staveley, Brian",9780765336415,0765336413,608,4.12,22464,"Jan 13, 2015",not set,not set
"The Last Mortal Bond (Chronicle of the Unhewn Throne, #3)","Staveley, Brian",,,897,4.06,16159,"Mar 15, 2016",not set,not set
"The Emperor's Blades (Chronicle of the Unhewn Throne, #1)","Staveley, Brian",9780765336408,0765336405,480,4.09,38263,"Jan 14, 2014",not set,not set
"Aurora's End (The Aurora Cycle, #3)","Kaufman, Amie",9781524720889,1524720887,512,4.23,15210,"Nov 02, 2021",not set,not set
"Aurora Burning (The Aurora Cycle, #2)","Kaufman, Amie",9781524720926,1524720925,495,4.29,29660,"May 05, 2020",not set,not set
"Earth's End (Air Awakens, #3)","Kova, Elise",9781619844223,1619844222,350,4.14,22958,"Feb 11, 2016",not set,not set
"Aurora Rising (The Aurora Cycle, #1)","Kaufman, Amie",9781524720964,1524720968,473,4.12,58346,"May 06, 2019","Apr 29, 2021","Apr 30, 2021"
Pride and Prejudice,"Austen, Jane",,,333,4.28,3794280,"Jan 28, 1813",not set,not set
"Peace Talks (The Dresden Files, #16)","Butcher, Jim",9780451464415,0451464419,340,4.21,40965,"Jul 14, 2020","Oct 22, 2022","Nov 09, 2022"
"Skin Game (The Dresden Files, #15)","Butcher, Jim",9780451464392,0451464397,454,4.56,80056,"May 27, 2014","Sep 03, 2022","Oct 21, 2022"
"Cold Days (The Dresden Files, #14)","Butcher, Jim",9780451464408,0451464400,515,4.48,94664,"Nov 27, 2012","Aug 10, 2022","Sep 03, 2022"
"Changes (The Dresden Files, #12)","Butcher, Jim",9780451463173,045146317X,438,4.5,109504,"Apr 06, 2010","Jul 22, 2022",Aug 2022
"Turn Coat (The Dresden Files, #11)","Butcher, Jim",9780451462565,0451462564,418,4.44,98748,"Apr 07, 2009","Jun 24, 2022","Jul 20, 2022"
"Small Favor (The Dresden Files, #10)","Butcher, Jim",9780451461896,0451461894,545,4.44,103415,"Apr 01, 2008","Jun 04, 2022","Jun 21, 2022"
"White Night (The Dresden Files, #9)","Butcher, Jim",9780451461407,0451461401,407,4.39,113043,"Apr 03, 2007","Jun 02, 2022","Jun 04, 2022"
"Proven Guilty (The Dresden Files, #8)","Butcher, Jim",9780451461032,0451461037,547,4.4,114392,"Feb 01, 2006","May 20, 2022","Jun 03, 2022"
"Dead Beat (The Dresden Files, #7)","Butcher, Jim",9780451460912,045146091X,517,4.41,119071,"May 03, 2005","May 08, 2022","May 19, 2022"
"Blood Rites (The Dresden Files, #6)","Butcher, Jim",9780451459879,0451459873,372,4.3,122805,"Aug 01, 2004","Apr 22, 2022","Apr 30, 2022"
"Death Masks (The Dresden Files, #5)","Butcher, Jim",9780451459404,0451459407,432,4.29,130101,"Aug 01, 2003","Apr 18, 2022","Apr 21, 2022"
"Grave Peril (The Dresden Files, #3)","Butcher, Jim",9780451458445,0451458443,378,4.14,155417,"Sep 01, 2001",not set,not set
"The Last Wish (The Witcher, #0.5)","Sapkowski, Andrzej",,,400,4.14,295818,"Jan 31, 1993",not set,not set
"The Time of Contempt (The Witcher, #2)","Sapkowski, Andrzej",9780316219136,0316219134,331,4.17,115619,1995,not set,not set
"Crystal Crowned (Air Awakens, #5)","Kova, Elise",,,400,4.15,17297,"Jul 12, 2016",not set,not set
"Water's Wrath (Air Awakens, #4)","Kova, Elise",9781619844254,1619844257,378,4.12,20603,"Apr 26, 2016",not set,not set
"Fire Falling (Air Awakens, #2)","Kova, Elise",9781619849525,1619849526,378,4.17,28790,"Nov 19, 2015","Apr 23, 2021","Apr 24, 2021"
"Air Awakens (Air Awakens, #1)","Kova, Elise",9781932549935,1932549935,342,4.01,44778,"Aug 27, 2015","Apr 21, 2021","Apr 23, 2021"
"Imagine Me (Shatter Me, #6)","Mafi, Tahereh",9780062676443,006267644X,480,3.96,82717,"Apr 02, 2020",not set,not set
"Defy Me (Shatter Me, #5)","Mafi, Tahereh",9780062676399,0062676393,357,4.27,104950,"Apr 02, 2019",not set,not set
"Restore Me (Shatter Me, #4)","Mafi, Tahereh",9780062676368,0062676369,435,4.17,130033,"Mar 06, 2018",not set,not set
"Ignite Me (Shatter Me, #3)","Mafi, Tahereh",,,421,4.45,281799,"Feb 04, 2014",not set,not set
"Unravel Me (Shatter Me, #2)","Mafi, Tahereh",9780062085535,0062085530,461,4.18,331679,"Feb 05, 2013",not set,not set
"Destroy Me (Shatter Me, #1.5)","Mafi, Tahereh",9780062208194,0062208195,111,4.1,149679,"Oct 02, 2012",not set,not set
"Shatter Me (Shatter Me, #1)","Mafi, Tahereh",,,328,3.9,552324,"Nov 15, 2011",not set,not set
"Champion (Legend, #3)","Lu, Marie",9780399256776,0399256776,369,4.33,201447,"Nov 05, 2013","Apr 20, 2021","Apr 21, 2021"
"Legend (Legend, #1)","Lu, Marie",,,305,4.16,491456,"Nov 29, 2011","Apr 18, 2021","Apr 18, 2021"
"Prodigy (Legend, #2)","Lu, Marie",9780399256769,0399256768,371,4.24,243353,"Jan 29, 2013","Apr 18, 2021","Apr 20, 2021"
"The Midnight Star (The Young Elites, #3)","Lu, Marie",9780399167850,0399167854,316,4.12,40680,"Oct 11, 2016","Dec 18, 2022","Dec 21, 2022"
"The Young Elites (The Young Elites, #1)","Lu, Marie",9780399167836,0399167838,355,3.88,128507,"Oct 07, 2014","Apr 30, 2021","Dec 17, 2022"
"The Rose Society (The Young Elites, #2)","Lu, Marie",9780399167843,0399167846,398,4.04,60130,"Oct 13, 2015","Dec 17, 2022","Dec 18, 2022"
The Night Circus,"Morgenstern, Erin",9780385534635,,387,4.03,861694,"Sep 13, 2011","Apr 13, 2021","Apr 13, 2021"
To Sleep in a Sea of Stars,"Paolini, Christopher",9781250762849,1250762847,880,3.78,44153,"Sep 15, 2020",not set,not set
"From Blood and Ash (Blood and Ash, #1)","Armentrout, Jennifer L.",9781952457005,1952457009,613,4.28,348425,"Mar 29, 2020",not set,not set
"Supernova (Renegades, #3)","Meyer, Marissa",9781250078384,1250078385,549,4.41,56007,"Nov 05, 2019","Apr 16, 2021","Apr 17, 2021"
"Renegades (Renegades, #1)","Meyer, Marissa",9781250044662,1250044669,552,4.15,116548,"Nov 07, 2017","Apr 15, 2021","Apr 16, 2021"
"Archenemies (Renegades, #2)","Meyer, Marissa",9781250311443,1250311446,560,4.28,67908,"Nov 06, 2018","Apr 16, 2021","Apr 16, 2021"
"Winter (The Lunar Chronicles, #4)","Meyer, Marissa",9780312642983,0312642989,832,4.43,248575,"Nov 10, 2015","Apr 10, 2021","Apr 11, 2021"
"Scarlet (The Lunar Chronicles, #2)","Meyer, Marissa",9780312642969,0312642962,454,4.26,381072,"Feb 05, 2013","Apr 08, 2021","Apr 09, 2021"
"Cress (The Lunar Chronicles, #3)","Meyer, Marissa",9780312642976,0312642970,552,4.42,335020,"Feb 04, 2014","Apr 10, 2021","Apr 10, 2021"
"Cinder (The Lunar Chronicles, #1)","Meyer, Marissa",,,400,4.13,840331,"Jan 03, 2012","Apr 07, 2021","Apr 08, 2021"
"The Crippled God (Malazan Book of the Fallen, #10)","Erikson, Steven",9780593046357,0593046358,921,4.5,26814,"Feb 15, 2011",not set,not set
"Dust of Dreams (Malazan Book of the Fallen, #9)","Erikson, Steven",9780765316554,0765316552,"1,280",4.3,26875,"Aug 18, 2009",not set,not set
"Reaper's Gale (Malazan Book of the Fallen, #7)","Erikson, Steven",9780593046319,0593046315,928,4.39,31198,"May 07, 2007",not set,not set
"Toll the Hounds (Malazan Book of the Fallen, #8)","Erikson, Steven",9780765310088,0765310082,"1,008",4.36,30095,"Jun 30, 2008",not set,not set
"Midnight Tides (Malazan Book of the Fallen, #5)","Erikson, Steven",9780553813142,0553813145,960,4.4,37427,Mar 2004,not set,not set
"The Bonehunters (Malazan Book of the Fallen, #6)","Erikson, Steven",9780553813159,0553813153,"1,203",4.47,36144,"Apr 04, 2006",not set,not set
"House of Chains (Malazan Book of the Fallen, #4)","Erikson, Steven",9780765348814,0765348810,"1,015",4.34,43621,Dec 2002,not set,not set
"Memories of Ice (Malazan Book of the Fallen, #3)","Erikson, Steven",9780765348807,0765348802,925,4.45,52381,"Dec 06, 2001",not set,not set
"Deadhouse Gates (Malazan Book of the Fallen, #2)","Erikson, Steven",9780765310026,0765310023,604,4.26,66273,Sep 2000,not set,not set
"Breach of Peace (Lawful Times, #1)","Greene, Daniel B.",9780578840789,,98,3.57,7597,"Mar 18, 2021",not set,not set
"Fire & Blood (A Targaryen History, #1)","Martin, George R.R.",9781524796280,152479628X,719,3.98,68834,"Nov 20, 2018",not set,not set
Storm in a Teacup: The Physics of Everyday Life,"Czerski, Helen",,,282,4.02,3848,"Jan 10, 2017","Mar 20, 2021","Apr 29, 2021"
"The Hope of Elantris (Elantris, #1.5)","Sanderson, Brandon",,,25,3.69,14560,2006,not set,not set
"Last Argument of Kings (The First Law, #3)","Abercrombie, Joe",9780575077904,0575077905,536,4.32,135550,"Mar 20, 2008",not set,not set
"Before They Are Hanged (The First Law, #2)","Abercrombie, Joe",9780575077881,0575077883,441,4.33,145617,"Mar 15, 2007",not set,not set
"The Blade Itself (The First Law, #1)","Abercrombie, Joe",9780575079793,0575079797,515,4.19,209051,"May 04, 2006",not set,not set
"Ninth House (Alex Stern, #1)","Bardugo, Leigh",9781250313072,1250313074,459,4.03,193876,"Oct 08, 2019",not set,not set
"Rule of Wolves (King of Scars, #2)","Bardugo, Leigh",9781510109186,1510109188,592,4.39,106363,"Mar 30, 2021","Mar 29, 2021","Mar 31, 2021"
"House of Earth and Blood (Crescent City, #1)","Maas, Sarah J.",9781635574043,1635574048,803,4.48,332664,"Mar 03, 2020",not set,not set
"Crooked Kingdom (Six of Crows, #2)","Bardugo, Leigh",,,561,4.61,492281,"Sep 27, 2016","Mar 12, 2021","Mar 13, 2021"
"Six of Crows (Six of Crows, #1)","Bardugo, Leigh",,,465,4.49,730464,"Sep 29, 2015","Mar 11, 2021","Mar 12, 2021"
"King of Scars (King of Scars, #1)","Bardugo, Leigh",,,527,4.17,153706,"Jan 29, 2019","Mar 11, 2021","Mar 15, 2021"
"Summer Knight (The Dresden Files, #4)","Butcher, Jim",9780451458926,0451458923,446,4.27,141743,"Sep 03, 2002","Mar 10, 2021","Mar 20, 2021"
"Ruin and Rising (The Shadow and Bone Trilogy, #3)","Bardugo, Leigh",,,422,4.02,424710,"Jun 17, 2014","Mar 10, 2021","Mar 10, 2021"
"Siege and Storm (The Shadow and Bone Trilogy, #2)","Bardugo, Leigh",,,435,3.85,498801,"Jun 04, 2013","Mar 09, 2021","Mar 10, 2021"
Percy Jackson and the Singer of Apollo,"Riordan, Rick",,,32,4.06,7676,"Sep 17, 2013",not set,not set
Demigods & Magicians: Percy and Annabeth Meet the Kanes,"Riordan, Rick",9781484732786,1484732782,224,4.31,15481,"Apr 05, 2016",not set,not set
The Crown of Ptolemy (Percy Jackson & Kane Chronicles Crossover #3),"Riordan, Rick",9781484709870,148470987X,63,4.37,21690,"Mar 01, 2015",not set,not set
"The Staff of Serapis (Percy Jackson & Kane Chronicles Crossover, #2)","Riordan, Rick",9781484721346,1484721349,60,4.29,29067,"Apr 08, 2014",not set,not set
"The Son of Sobek (Percy Jackson & Kane Chronicles Crossover, #1)","Riordan, Rick",,,40,4.26,44213,2012,not set,not set
"The Serpent's Shadow (The Kane Chronicles, #3)","Riordan, Rick",9781423140573,1423140575,406,4.29,147621,"May 01, 2012",not set,not set
"The Blood of Olympus (The Heroes of Olympus, #5)","Riordan, Rick",9781423146735,1484724917,516,4.43,275573,"Oct 07, 2014",not set,not set
"The House of Hades (The Heroes of Olympus, #4)","Riordan, Rick",9781423146728,1423146727,597,4.55,351899,"Oct 08, 2013",not set,not set
"The Red Pyramid (The Kane Chronicles, #1)","Riordan, Rick",9781423113386,1423113381,528,4.1,368561,"May 04, 2010",not set,not set
"The Son of Neptune (The Heroes of Olympus, #2)","Riordan, Rick",9781423140597,1423140591,521,4.42,516463,"Oct 04, 2011",not set,not set
"Shadow and Bone (The Shadow and Bone Trilogy, #1)","Bardugo, Leigh",,,358,3.95,795829,"Jun 05, 2012","Mar 08, 2021","Mar 09, 2021"
"Reaper Man (Discworld, #11; Death, #2)","Pratchett, Terry",9780552134644,0552134643,288,4.28,94079,1991,"Feb 27, 2021","Mar 08, 2021"
Astrophysics for People in a Hurry,"Tyson, Neil deGrasse ",9780393609394,0393609391,223,4.09,154701,"May 02, 2017","Feb 19, 2021","Mar 09, 2021"
"The Burning God (The Poppy War, #3)","Kuang, R.F.",9780008339142,0008339147,622,4.33,44248,"Nov 17, 2020",not set,not set
"The Drowning Faith (The Poppy War, #2.5)","Kuang, R.F.",,,15,4.52,8139,Nov 2020,not set,not set
"The Poppy War (The Poppy War, #1)","Kuang, R.F.",9780062662590,0062662597,545,4.15,147414,"May 01, 2018","Feb 14, 2021","Feb 18, 2021"
"The Dragon Republic (The Poppy War, #2)","Kuang, R.F.",,,658,4.39,62919,"Aug 06, 2019",not set,not set
Seven Brief Lessons on Physics,"Rovelli, Carlo",9780399184413,0399184414,81,3.98,50218,"Oct 22, 2014",Jan 2021,"Jan 05, 2021"
The Beat of a Different Drum: The Life and Science of Richard Feynman,"Mehra, Jagdish",9780198539483,0198539487,662,4.17,77,"Mar 31, 1994",not set,not set
Subtle Is the Lord: The Science and the Life of Albert Einstein,"Pais, Abraham",9780192806727,0192806726,576,4.32,1815,1982,not set,not set
