Book Name,Author,ISBN 13,ISBN,Number of Pages,Average Rating,Total Number of Ratings,Publication Date,Date Started,Date Completed
"The False Prince (Ascendance, #1)","Nielsen, Jennifer A.",9780545284134,0545284139,342,4.22,87943,"Apr 01, 2012","Dec 21, 2022",not set
"The Marvellers (Marvellerverse, #1)","Clayton, Dhonielle",9781250174949,1250174945,416,4.14,1658,"May 03, 2022",not set,not set
"Amari and the Great Game (Supernatural Investigations, #2)","Alston, B.B.",,,400,4.41,3327,"Aug 30, 2022","Dec 16, 2022","Dec 19, 2022"
"Amari and the Night Brothers (Supernatural Investigations, #1)","Alston, B.B.",,,416,4.43,19320,"Jan 19, 2021","Dec 16, 2022","Dec 16, 2022"
Gallant,"Schwab, V.E.",9780062835772,0062835777,334,3.79,61086,"Mar 01, 2022",not set,not set
"Bastille vs. the Evil Librarians (Alcatraz vs. the Evil Librarians, #6)","Sanderson, Brandon",9781250811066,1250811066,256,4.13,1379,"Sep 20, 2022",Oct 2022,"Oct 02, 2022"
"Battle Ground (The Dresden Files, #17)","Butcher, Jim",9780593199305,0593199308,418,4.41,35416,"Sep 29, 2020","Nov 09, 2022","Dec 16, 2022"
"Ghost Story (The Dresden Files, #13)","Butcher, Jim",9780451463791,045146379X,481,4.25,92931,"Jul 26, 2011","Aug 08, 2022","Aug 10, 2022"
The Lightning Tree,"Rothfuss, Patrick",,,93,4.0,2549,2014,"Apr 16, 2022","Apr 16, 2022"
"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)","Munroe, Randall",9780544272996,0544272994,303,4.14,156775,"Sep 02, 2014",not set,not set
"Leviathan Falls (The Expanse, #9)","Corey, James S.A.",9780356510392,0356510395,528,4.54,37891,"Nov 30, 2021",not set,not set
"Tiamat's Wrath (The Expanse, #8)","Corey, James S.A.",9780316332873,0316332879,534,4.57,52326,"Mar 26, 2019",not set,not set
"Persepolis Rising (The Expanse, #7)","Corey, James S.A.",9780316332828,0316332828,608,4.37,57752,"Dec 05, 2017","Jun 02, 2022",not set
"Babylon's Ashes (The Expanse, #6)","Corey, James S.A.",9780356504261,0356504263,538,4.24,68029,"Dec 06, 2016","May 08, 2022","May 30, 2022"
"Cibola Burn (The Expanse, #4)","Corey, James S.A.",,,581,4.2,91162,"Jun 17, 2014","Feb 24, 2022","Apr 17, 2022"
"Nemesis Games (The Expanse, #5)","Corey, James S.A.",,,536,4.43,81652,"Jun 02, 2015","Apr 18, 2022","May 08, 2022"
"Abaddon's Gate (The Expanse, #3)","Corey, James S.A.",,,539,4.26,112070,"Jun 04, 2013","Jan 28, 2022","Feb 24, 2022"
"Drive (The Expanse, #2.7)","Corey, James S.A.",,,30,4.03,9804,"Nov 27, 2012",not set,not set
"Caliban's War (The Expanse, #2)","Corey, James S.A.",9781841499901,1841499900,624,4.37,132646,"Jun 07, 2012","Jan 23, 2022","Jan 28, 2022"
"Gods of Risk (The Expanse, #2.5)","Corey, James S.A.",,,72,3.72,18975,"Jan 01, 2012",not set,not set
"Book of Night (Book of Night, #1)","Black, Holly",9781250812193,1250812194,304,3.55,35057,"May 03, 2022",not set,not set
Deep Learning with Python,"Chollet, Francois",9781617294433,1617294438,350,4.58,1091,"Nov 30, 2017","Dec 17, 2021","Dec 15, 2022"
Python 3 Object-oriented Programming: Building robust and maintainable software with object oriented design patterns in Python,"Phillips, Dusty",,,462,4.02,222,"Jul 26, 2010",not set,not set
"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems","Géron, Aurélien",,,566,4.56,2129,"Apr 09, 2017","Nov 27, 2021","Dec 17, 2021"
"Evershore (Skyward, #3.1)","Sanderson, Brandon",9780593566633,,234,4.42,9317,"Dec 28, 2021","Dec 30, 2021","Jan 06, 2022"
An Introduction to Statistical Learning: With Applications in R,"James, Gareth",9781461471370,1461471370,426,4.6,1975,"Jun 24, 2013","Nov 21, 2021","Jun 08, 2022"
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"Sweigart, Al",9781593275990,1593275994,479,4.29,2522,"Nov 25, 2014","Nov 21, 2021","Nov 29, 2021"
