name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),0.61,0.488,3,-6.917999999999999,1,0.0293,0.8170000000000001,0.0,0.312,0.44299999999999995,125.039,spotify:track:4IQkfUsrwXol38VV3U7t7T
Beautiful Liar,0.764,0.7509999999999999,8,-3.74,1,0.0703,0.00554,0.00023700000000000001,0.16399999999999998,0.418,91.977,spotify:track:2HWWNoWEEEECwZhAiLg7ib
World We Used To Know,0.48,0.6920000000000001,11,-5.324,0,0.0582,0.17600000000000002,0.00011,0.221,0.465,85.34299999999999,spotify:track:5I9Qa1LfGcQGCIC32lh9Ka
Sorry,0.542,0.561,5,-7.029,0,0.0485,0.43700000000000006,0.0704,0.135,0.183,175.998,spotify:track:6k1Q8mNcA2jFH0uv5B6g9G
Paradise,0.777,0.5820000000000001,0,-6.187,0,0.0354,0.151,0.0,0.109,0.6809999999999999,148.921,spotify:track:0QrLeOy3DCNBNQoEwZB1T3
The Closer I Get to You (feat. Beyoncé Knowles),0.63,0.3,0,-9.613999999999999,0,0.0521,0.639,0.0,0.17,0.278,116.15299999999999,spotify:track:4BOBfPQGlHSFnnjoXOXj0O
Signs (feat. Missy Elliott),0.373,0.4,7,-9.81,1,0.249,0.151,8.400000000000001e-06,0.11199999999999999,0.39799999999999996,74.283,spotify:track:77k22jXCMp5dB5UvuV8XXN
Halo,0.42200000000000004,0.7120000000000001,11,-5.907,0,0.1,0.273,0.0,0.051,0.47100000000000003,78.454,spotify:track:2CvOqDpQIMw69cCzWqr5yr
august,0.532,0.623,5,-9.208,1,0.0331,0.5379999999999999,7.28e-05,0.0925,0.40299999999999997,89.93700000000001,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
Can I Get It,0.703,0.68,9,-6.117999999999999,0,0.0431,0.0171,0.0,0.17800000000000002,0.536,97.985,spotify:track:6w8ZPYdnGajyfPddTWdthN
My Little Love,0.33899999999999997,0.49200000000000005,1,-10.661,1,0.0559,0.8290000000000001,0.0037700000000000003,0.147,0.102,151.865,spotify:track:2DuPBbS5mIldXnh7Wum8Cy
Easy On Me,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,spotify:track:46IZ0fSY2mpAiktS3KOqds
State Of Grace (Acoustic Version) (Taylor's Version),0.445,0.131,7,-13.777999999999999,1,0.0564,0.6629999999999999,1.57e-06,0.10800000000000001,0.10099999999999999,208.918,spotify:track:5jAIouBES8LWMiriuNq170
The Moment I Knew (Taylor's Version),0.636,0.402,7,-7.855,1,0.031,0.0494,0.0,0.107,0.20800000000000002,125.95200000000001,spotify:track:0NRHj8hDwwmSPaA41o379r
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),0.498,0.61,6,-5.098,1,0.0363,0.271,0.0,0.223,0.474,79.918,spotify:track:7qEUFOVcxRI19tbT68JcYK
Sad Beautiful Tragic (Taylor's Version),0.601,0.406,7,-11.827,1,0.0275,0.622,9.19e-05,0.133,0.23199999999999998,130.059,spotify:track:73qMN9bXy7MSPwwGfH3wQr
Holy Ground (Taylor's Version),0.622,0.809,9,-5.622999999999999,1,0.0638,0.0288,0.00218,0.109,0.511,156.894,spotify:track:7J4b3LVCIGO4CMBDFLPoP6
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),0.502,0.534,2,-5.954,1,0.0278,0.0399,0.0,0.0977,0.155,94.05,spotify:track:0y6kdSRCVQhSsHSpWvTUm7
Stay Stay Stay (Taylor's Version),0.693,0.6809999999999999,0,-7.039,1,0.025,0.0848,0.0,0.0768,0.6629999999999999,100.02,spotify:track:7eQj6r5PIdYKEIZjucBMcq
Treacherous (Taylor's Version),0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,spotify:track:3S7HNKPakdwNEBFIVTL6dZ
Better Man (Taylor's Version) (From The Vault),0.473,0.579,4,-5.824,1,0.0384,0.214,0.0,0.0877,0.255,73.942,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD
The Very First Night (Taylor's Version) (From The Vault),0.6779999999999999,0.733,7,-5.025,1,0.0281,0.00115,0.0,0.10400000000000001,0.581,121.009,spotify:track:6pYNq0ZwpPVazKzsqpf0G8
Message In A Bottle (Taylor's Version) (From The Vault),0.622,0.7909999999999999,7,-6.106,1,0.0535,0.0018800000000000002,3.72e-06,0.083,0.494,115.915,spotify:track:3z6XUommYDWPHeFhmhhT6j
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0.606,0.377,0,-9.455,1,0.0275,0.8170000000000001,0.0,0.154,0.446,101.96,spotify:track:01K4zKU104LyJ8gMb7227B
State Of Grace (Taylor's Version),0.594,0.713,9,-5.314,1,0.0503,0.000328,0.0,0.114,0.32799999999999996,129.958,spotify:track:6lzc0Al0zfZOIFsFvBS1ki
