name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
Come Back...Be Here (Taylor's Version),0.46,0.632,4,-6.031000000000001,1,0.0302,0.0158,0.0,0.0822,0.39899999999999997,79.846,spotify:track:4pNApnaUWAL2J4KO2eqokq
We Are Never Ever Getting Back Together (Taylor's Version),0.5670000000000001,0.6859999999999999,7,-6.138999999999999,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,spotify:track:5YqltLsjdqFtvqE7Nrysvs
I Almost Do (Taylor's Version),0.511,0.5589999999999999,4,-6.587000000000001,1,0.0264,0.0167,0.0,0.113,0.248,145.88,spotify:track:2r9CbjYgFhtAmcFv1cSquB
All Too Well (Taylor's Version),0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.23399999999999999,0.132,185.972,spotify:track:3nsfB1vus2qaloUdcBZvDu
I Knew You Were Trouble (Taylor's Version),0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.00799999999998,spotify:track:6AtZLIzUINvExIUy4QhdjP
Red (Taylor's Version),0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.04700000000001,spotify:track:4OAuvHryIVv4kMDNSLuPt6
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),0.631,0.518,0,-8.771,1,0.0303,0.27399999999999997,0.0,0.08800000000000001,0.205,93.023,spotify:track:5enxwA8aAbwZbf5qCHORXi
Falling,0.5670000000000001,0.267,4,-6.502000000000001,1,0.0299,0.8390000000000001,1.46e-06,0.08900000000000001,0.0592,110.01100000000001,spotify:track:1ZMiCix7XSAbfAJlEZWMCp
Lights Up,0.575,0.621,10,-8.165,0,0.032,0.0392,0.0045,0.141,0.27,101.98700000000001,spotify:track:4jAIqgrPjKLTY9Gbez25Qb
Sweet Creature,0.42700000000000005,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,spotify:track:5kRPPEWFJIMox5qIkQkiz5
Two Ghosts,0.386,0.40700000000000003,6,-7.095,0,0.0268,0.23399999999999999,1.86e-06,0.0999,0.456,69.387,spotify:track:4B1rpPmQXwj78wk6aIGwwU
Sign of the Times,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.97200000000001,spotify:track:5Ohxk2dO5COHF1krpoPigN
Chromatica III,0.493,0.373,5,-12.475,1,0.0524,0.9520000000000001,0.981,0.396,0.565,121.454,spotify:track:6kXRZSe28BawCiEdME8YLk
911,0.789,0.813,5,-4.563,1,0.0374,0.0294,2.07e-06,0.519,0.42,116.007,spotify:track:6qI0MU175Dk2DeoUjlrOpy
Chromatica II,0.184,0.297,2,-14.534,1,0.0359,0.473,0.893,0.527,0.113,75.824,spotify:track:0oQc0F6KUE7QY7k5TU6bic
Chromatica I,0.231,0.457,6,-10.773,0,0.0318,0.0126,0.875,0.327,0.0588,65.827,spotify:track:3CGZ7wfk4skmuyQgua1C1K
Free Woman,0.731,0.927,0,-3.634,1,0.0781,0.0228,7.15e-05,0.187,0.478,119.006,spotify:track:4L6ihclQPu1hqP9r3WNJjQ
Before I Cry,0.48,0.56,2,-5.196000000000001,1,0.0373,0.157,0.0,0.168,0.16699999999999998,146.41,spotify:track:1JcjOWpaQr2crUaJj2kRYQ
Is That Alright?,0.557,0.27899999999999997,6,-7.757000000000001,1,0.0372,0.868,1.25e-05,0.0978,0.263,102.727,spotify:track:378u8gf9qpJ4ZhxHEvrodl
I Don't Know What Love Is,0.42100000000000004,0.535,0,-6.556,1,0.0288,0.348,0.000194,0.19399999999999998,0.221,62.67100000000001,spotify:track:3PPeqAc0fCfFdh8cUYShn6
Heal Me,0.606,0.544,9,-8.36,0,0.0593,0.0481,0.0,0.0916,0.456,86.01299999999999,spotify:track:5eRo6g2COIM4OE3UEHMA4g
Look What I Found,0.8490000000000001,0.493,1,-4.1,0,0.0417,0.456,0.000463,0.133,0.447,97.012,spotify:track:6Id5RM56PFn2hB4I0ox0WA
Music To My Eyes,0.625,0.35600000000000004,2,-9.044,1,0.0319,0.392,0.0012900000000000001,0.1,0.325,114.805,spotify:track:5IXk9TVBuxG87sFrwclBJw
Alice,0.723,0.88,11,-4.287,0,0.038,0.0033399999999999997,0.0179,0.0632,0.32299999999999995,123.036,spotify:track:41A89rj3GoMG6ktN37L7PG
The Queen,0.368,0.833,6,-5.869,0,0.0464,0.000154,0.006509999999999999,0.0545,0.48200000000000004,143.982,spotify:track:0sUT8GAOF12VKvqJIMtUGP
Hair,0.57,0.9229999999999999,5,-3.4330000000000003,1,0.063,0.00116,9.01e-06,0.141,0.40299999999999997,135.006,spotify:track:4u8q2Gddnu8jqCFzxm5IZs
Born This Way,0.5870000000000001,0.828,11,-5.1080000000000005,1,0.161,0.0032700000000000003,0.0,0.331,0.494,123.90700000000001,spotify:track:30XU4suKzCeoCK9YFzdufg
Marry The Night,0.612,0.877,0,-4.43,1,0.064,0.000992,0.00563,0.462,0.38,131.06799999999998,spotify:track:02d1E4NRuh7OEQO4vCb9PD
The Fame,0.816,0.6940000000000001,5,-3.325,1,0.0504,0.0296,1.4800000000000002e-05,0.035,0.966,127.021,spotify:track:3HhAZV8ngUOOt4eUHovhud
Poker Face,0.851,0.8059999999999999,4,-4.62,1,0.0787,0.11800000000000001,1.64e-06,0.121,0.787,118.999,spotify:track:1QV6tiMFM6fSOKOGLMHYYg
Sweetest Devotion,0.41600000000000004,0.752,0,-5.471,1,0.0396,0.251,0.0,0.125,0.266,155.89,spotify:track:2Eb7QQ5soJQBEYTfSb5BS6
All I Ask,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,spotify:track:6DEMMeWXfmFAXgDUMMzeg6
Water Under the Bridge,0.59,0.833,5,-6.502999999999999,0,0.0615,0.0142,5.400000000000001e-06,0.105,0.5379999999999999,94.963,spotify:track:2DRMuw0U0QbkVQxWxdJV3M
Remedy,0.405,0.3,2,-6.475,1,0.0378,0.894,0.0,0.154,0.24,162.355,spotify:track:1zZh6zTXcDgvN0C6S1G4gU
When We Were Young,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,spotify:track:6O5TrlFWTYvznd9fMC0VvU
Love In The Dark,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,spotify:track:0DuWDLjriRPjDRoPgaCslY
Lovesong,0.6890000000000001,0.369,0,-9.407,0,0.0278,0.693,0.00236,0.111,0.361,116.885,spotify:track:2PPN1HFpVotjq7oJIqQbnx
One And Only,0.528,0.46799999999999997,5,-5.306,1,0.0287,0.295,0.0,0.165,0.185,154.974,spotify:track:5W63Zcirj6bvnTxhVIKTSK
I'll Be Waiting,0.547,0.848,2,-2.6839999999999997,1,0.0367,0.049,0.0,0.114,0.7490000000000001,160.063,spotify:track:42Uw9frN5ZVX40mRU3hHFL
Set Fire to the Rain,0.603,0.67,2,-3.8819999999999997,0,0.0249,0.004079999999999999,1.68e-06,0.11199999999999999,0.446,107.993,spotify:track:3di5hcvxxciiqwMH1jarhY
Don't You Remember,0.644,0.4,3,-5.712999999999999,1,0.0304,0.214,0.0,0.0866,0.22699999999999998,115.025,spotify:track:1CRtJS94Hq3PbBZT9LuF90
Turning Tables,0.353,0.446,0,-6.044,0,0.0285,0.95,1.3500000000000001e-05,0.132,0.21100000000000002,155.476,spotify:track:2eF2x1BkgilhaZ2AipRY8j
Tired,0.8009999999999999,0.6629999999999999,11,-6.29,1,0.0485,0.18100000000000002,0.000535,0.0945,0.552,96.991,spotify:track:44LTAQLZPPSgNbmMh5Qacd
Make You Feel My Love,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,spotify:track:5PuJtgZFBzZ98GIWDpS2sF
Melt My Heart To Stone,0.353,0.38799999999999996,11,-7.091,0,0.0366,0.34600000000000003,0.0,0.215,0.19,80.67,spotify:track:1Ty11iX5DIhZRRD9zCHP3l
Crazy For You,0.7070000000000001,0.139,7,-12.3,1,0.0507,0.91,0.0,0.105,0.32299999999999995,85.868,spotify:track:2Mu0WHDu931jSNOC6GDIp5
Cold Shoulder,0.65,0.82,0,-5.343999999999999,1,0.047,0.00217,0.0,0.133,0.35,109.955,spotify:track:78foNmu2hGDPwm3cJVlikF
Chasing Pavements,0.616,0.47,5,-6.0920000000000005,0,0.0253,0.29100000000000004,0.0,0.111,0.325,80.03,spotify:track:4YoGMmUJJ9dZpQ2CLOmPl2
Daydreamer,0.807,0.105,9,-13.187999999999999,1,0.0412,0.9640000000000001,0.0,0.10300000000000001,0.37200000000000005,109.014,spotify:track:0SA1xt4HUX5ny8xfgHOqQI
Be Right Now,0.501,0.684,11,-6.706,1,0.0566,0.00494,0.000478,0.0524,0.442,131.952,spotify:track:3BiiSLo0wyHAY7lpCEO6ge
Visiting Hours,0.47100000000000003,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609,spotify:track:0rt63HYAAIzUZo5O2D0uA6
Love In Slow Motion,0.485,0.54,1,-5.4,1,0.0253,0.6679999999999999,0.0,0.0849,0.426,62.631,spotify:track:1i4F583d9v9RabcfOlKKVL
Stop The Rain,0.6859999999999999,0.765,8,-4.7780000000000005,1,0.11800000000000001,0.0122,0.0,0.127,0.743,99.99799999999999,spotify:track:0VuDtcT7H4CAljLZEH021x
Shivers,0.7879999999999999,0.8590000000000001,2,-2.7239999999999998,1,0.0856,0.281,0.0,0.0424,0.8220000000000001,141.02,spotify:track:50nfwKoDiSYg8zOCREWAm5
Leave Your Life,0.578,0.5579999999999999,2,-5.438,1,0.0872,0.23600000000000002,0.0,0.14300000000000002,0.54,75.087,spotify:track:0YbI9lWxUBsCJLb6EBydkr
The Joker And The Queen,0.5670000000000001,0.21100000000000002,0,-9.975,1,0.0315,0.9520000000000001,5.24e-05,0.275,0.289,134.019,spotify:track:3NuLxTXowTRcguTh9RsPmM
Overpass Graffiti,0.52,0.8490000000000001,9,-3.7939999999999996,0,0.18600000000000003,0.00253,0.0,0.11900000000000001,0.774,175.908,spotify:track:4btFHqumCO31GksfuBLLv3
Bad Habits,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.7899999999999997e-05,0.366,0.537,126.01100000000001,spotify:track:3rmo8F54jFF8OgYsqTxm5d
"Al'Naito (The Flame) - from ""The Wheel Of Time"" soundtrack",0.397,0.677,5,-8.781,0,0.0493,0.00412,3.570000000000001e-05,0.106,0.12,124.941,spotify:track:3Uw1juuq3Ch2hdghOcfl6M
Scars To Your Beautiful,0.319,0.7390000000000001,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,spotify:track:42ydLwx4i5V49RXHOozJZq
Bohemian Rhapsody,0.39,0.397,0,-9.963,0,0.0513,0.287,0.0,0.207,0.24600000000000002,144.031,spotify:track:3z8h0TU7ReDPLIbEnYhWZb
Rewrite The Stars,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,spotify:track:630sXRhIcfwr2e4RdNtjKN
Untouchable (Taylor’s Version),0.39299999999999996,0.531,5,-6.112,1,0.0329,0.0181,0.0,0.16899999999999998,0.22399999999999998,200.391,spotify:track:0tQ9vBYpldCuikPsbgOVKA
I'll Never Love Again - Extended Version,0.406,0.359,7,-6.145,1,0.0293,0.685,3.67e-06,0.122,0.20199999999999999,109.24600000000001,spotify:track:2fbJ5Msx8KoDKpyufH5YsU
Bad Romance,0.696,0.9209999999999999,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.7140000000000001,119.001,spotify:track:0SiywuOBRcynK0uKGWdCnn
Stronger,0.7070000000000001,0.9229999999999999,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.8420000000000001,108.04899999999999,spotify:track:5QhBKPqsnX1uY9fZNaAtZg
A Thousand Years,0.42100000000000004,0.40700000000000003,10,-7.445,1,0.0267,0.309,0.0009609999999999999,0.11,0.161,139.028,spotify:track:6lanRgr6wXibZr8KgzXxBl
Shameless,0.377,0.6509999999999999,4,-5.437,0,0.0589,0.0197,5.31e-05,0.174,0.0851,129.607,spotify:track:2ogKhhoMClkFXek7ZgxAhN
evermore (feat. Bon Iver),0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,spotify:track:3O5osWf1rSoKMwe6E9ZaXP
Shake It Off,0.647,0.8,7,-5.3839999999999995,1,0.165,0.0647,0.0,0.33399999999999996,0.9420000000000001,160.078,spotify:track:0cqRj7pUJDkTCEsJkx8snD
Rolling in the Deep,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,spotify:track:4OSBTYWVwsQhGLF9NHvIbR
Someone Like You,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,spotify:track:3bNv3VuUOKgrf5hu3YcuRo
Hello,0.578,0.43,5,-6.1339999999999995,0,0.0305,0.33,0.0,0.0854,0.28800000000000003,78.991,spotify:track:1Yk0cQdMLx5RzzFTYwmuld
Toxic,0.774,0.838,5,-3.9139999999999997,0,0.114,0.0249,0.025,0.242,0.924,143.04,spotify:track:6I9VzXrHxO9rA9A5euc8Ak
Oops!...I Did It Again,0.7509999999999999,0.8340000000000001,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,spotify:track:6naxalmIoLFWR0siv8dnQQ
Let Me Love You,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.6300000000000002e-05,0.135,0.163,99.988,spotify:track:0lYBSQXN6rCTvUZvg9S0lU
Love Yourself,0.609,0.37799999999999995,4,-9.828,1,0.43799999999999994,0.835,0.0,0.28,0.515,100.41799999999999,spotify:track:50kpGaPAhYJ3sGmk6vplg0
Stuck with U (with Justin Bieber),0.597,0.45,8,-6.6579999999999995,1,0.0418,0.223,0.0,0.382,0.537,178.765,spotify:track:4HBZA5flZLE435QTztThqH
Used to This,0.583,0.495,1,-7.681,0,0.0813,0.361,3.35e-06,0.348,0.364,100.04700000000001,spotify:track:3r73OmpBtQAwMgawxOmlg0
Never Be the Same,0.637,0.713,0,-4.333,1,0.0747,0.18100000000000002,0.000637,0.13699999999999998,0.243,129.923,spotify:track:4eWQlBRaTjPPUlzacqEeoQ
Real Friends,0.726,0.304,3,-8.677,1,0.131,0.8390000000000001,0.0,0.0853,0.813,91.97,spotify:track:3iq9nhbI8fcnNamxMft1uv
My Oh My (feat. DaBaby),0.7240000000000001,0.491,8,-6.024,1,0.0296,0.018000000000000002,1.29e-05,0.0887,0.38299999999999995,105.046,spotify:track:3yOlyBJuViE2YSGn3nVE1K
Living Proof,0.735,0.514,7,-5.4639999999999995,1,0.08199999999999999,0.109,0.0,0.359,0.517,77.566,spotify:track:4jFD7byoPdGkEdjHLMduR9
"Million To One - from the Amazon Original Movie ""Cinderella""",0.511,0.466,7,-5.9270000000000005,1,0.0298,0.583,0.0,0.11699999999999999,0.278,150.02200000000002,spotify:track:3lzYrD0WcgGFiAFKkB2shE
This Is Why We Can't Have Nice Things,0.5670000000000001,0.789,5,-5.986000000000001,1,0.115,0.0156,0.0,0.382,0.43799999999999994,163.96,spotify:track:07NxDD1iKCHbAldceD7QLP
Don't Go Yet,0.6659999999999999,0.7959999999999999,10,-6.9670000000000005,0,0.10300000000000001,0.0492,0.0,0.0442,0.61,110.10799999999999,spotify:track:1058fW9H3fZA6QjYCdOBad
I'll Never Love - Extended Version - Radio Edit,0.40299999999999997,0.35600000000000004,7,-6.172999999999999,1,0.0287,0.7120000000000001,2.04e-06,0.109,0.19399999999999998,108.98899999999999,spotify:track:54e5nUP7pHqVfaiCsq9FpW
I Knew You Were Trouble.,0.622,0.469,3,-6.797999999999999,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.01899999999999,spotify:track:3lKZf71jeNi14udIFPJ29V
How Far I'll Go,0.5710000000000001,0.307,1,-10.958,0,0.0499,0.649,0.0,0.17800000000000002,0.10800000000000001,83.72,spotify:track:1ERshJBUZysordGDZr5B3t
You'll Be In My Heart,0.568,0.748,8,-6.54,1,0.0299,0.0626,2.18e-06,0.0947,0.623,96.59,spotify:track:4Y8vb1uy9IjM2V1hqvrAid
"Colors of the Wind - From ""Pocahontas"" / Soundtrack Version",0.272,0.16399999999999998,1,-17.04,1,0.046,0.929,0.0011,0.109,0.228,81.551,spotify:track:1OYOLWqKmhkFIx2KC9ek1a
Oxytocin,0.757,0.598,11,-7.777,1,0.057999999999999996,0.0904,0.551,0.15,0.18,124.95100000000001,spotify:track:4t2OeILB07eMGTXSUbMPEu
Happier Than Ever,0.332,0.225,0,-8.697000000000001,1,0.0348,0.767,0.00349,0.128,0.297,81.055,spotify:track:4RVwu0g32PAqgUiJoXsdF8
tolerate it,0.316,0.361,9,-10.380999999999998,1,0.0488,0.878,2.6700000000000002e-05,0.0797,0.221,74.952,spotify:track:0PurA4JVJ8YQgSVopY8fn6
Wolves,0.7240000000000001,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.98700000000001,spotify:track:0tBbt8CrmxbjRP0pueQkyU
Your Power,0.632,0.284,9,-14.025,0,0.0801,0.932,0.00047599999999999997,0.233,0.20800000000000002,129.642,spotify:track:042Sl6Mn83JHyLEqdK7uI0
Lost Cause,0.526,0.33399999999999996,10,-8.491,0,0.251,0.7020000000000001,0.00782,0.0586,0.522,74.96600000000001,spotify:track:4191RXFPa7Ge9XkA4cWlna
Havana (feat. Young Thug),0.765,0.523,2,-4.333,1,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,spotify:track:1rfofaqEpACxVEHIZBJe6W
Criminal,0.696,0.7340000000000001,7,-5.294,1,0.0298,0.0485,0.0,0.183,0.711,107.98700000000001,spotify:track:6T689Jvh5KrSXyaPtUWZtQ
Red,0.602,0.8959999999999999,1,-4.2669999999999995,0,0.0437,0.0773,8.87e-05,0.0911,0.6409999999999999,124.978,spotify:track:7gJtmLyPTwKzhGzMBXtuXH
Sweet Dreams,0.7659999999999999,0.8170000000000001,7,-4.253,1,0.035,0.0239,2.49e-06,0.159,0.43,125.03299999999999,spotify:track:4uDhts78RdwIDjEqPrYVKp
Shallow,0.5720000000000001,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.32299999999999995,95.79899999999999,spotify:track:2VxeLyX666F8uXCJ0dZF8B
Rain On Me (with Ariana Grande),0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123.056,spotify:track:7ju97lgwC2rKQ6wwsf9no9
On The Ground,0.311,0.607,1,-6.577999999999999,1,0.11,0.0174,0.0,0.131,0.28600000000000003,188.7,spotify:track:2xgACMNtJ5YktyvOC83SPO
Someone You Loved,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,spotify:track:7qEHsqek33rTcFNT9PFqLf
Always Remember Us This Way,0.5529999999999999,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.29600000000000004,129.976,spotify:track:2rbDhOo9Fh61Bbu23T2qCk
Shallow - Radio Edit,0.575,0.33,7,-6.557,1,0.031,0.41600000000000004,0.0,0.0872,0.27699999999999997,95.801,spotify:track:6QfS2wq5sSC1xAJCQsTSlj
All Too Well,0.602,0.609,0,-7.803,1,0.0243,0.0382,0.0002,0.128,0.337,93.06,spotify:track:6GNRkaWUB0Lwc19SdkTgx8
The A Team,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.40700000000000003,84.99600000000001,spotify:track:1VdZ0vKfR5jneCmWIUAMxK
There's Nothing Holdin' Me Back,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.9690000000000001,121.99799999999999,spotify:track:7JJmb5XwzOO8jgpou264Ml
We Were Happy (Taylor’s Version) (From The Vault),0.609,0.373,0,-8.818999999999999,1,0.0263,0.8490000000000001,0.0,0.0779,0.13,106.007,spotify:track:34V9RiEPe8MNdU32qJsJa1
On My Way,0.509,0.6890000000000001,1,-4.928999999999999,0,0.102,0.0209,0.0,0.301,0.297,170.08700000000002,spotify:track:4n7jnSxVLd8QioibtTDBDq
Into the West,0.312,0.031,0,-22.035,1,0.037000000000000005,0.914,8.81e-06,0.0949,0.0399,92.074,spotify:track:0gSEyG7pOFuHM05433EibX
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),0.588,0.608,5,-7.062,1,0.0365,0.225,0.0,0.092,0.508,90.20100000000001,spotify:track:7eResoqEJJAVTkQYSqvO3P
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),0.66,0.8170000000000001,11,-6.269,0,0.0521,0.162,0.0,0.0667,0.7140000000000001,135.942,spotify:track:2CYVETnhM9aytqrazYYwrK
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.10099999999999999,0.44,142.893,spotify:track:4CHpVfAhuxNJ3ibExe6kxO
Breathe (feat. Colbie Caillat) (Taylor’s Version),0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035,spotify:track:7HC7R2D8WjXVcUHJyEGjRs
You Belong With Me (Taylor’s Version),0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,spotify:track:1qrpoAMXodY6895hGKoUpA
White Horse (Taylor’s Version),0.423,0.517,0,-7.377000000000001,1,0.0486,0.369,0.0,0.177,0.366,185.262,spotify:track:5YL553x8sHderRBDlm3NM3
Hey Stephen (Taylor’s Version),0.7879999999999999,0.5710000000000001,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99,spotify:track:550erGcdD9n6PnwxrvYqZT
Love Story (Taylor’s Version),0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,spotify:track:6YvqWjhGD8mB5QXcbcUKtx
Fifteen (Taylor’s Version),0.5589999999999999,0.6459999999999999,7,-4.61,1,0.0272,0.11599999999999999,0.0,0.32,0.289,95.46600000000001,spotify:track:2nqio0SfWg6gh2eCtfuMa5
Fearless (Taylor’s Version),0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.33299999999999996,0.43,100.118,spotify:track:77sMIMlNaSURUAXq5coCxE
Jump Then Fall (Taylor’s Version),0.5720000000000001,0.69,2,-6.2010000000000005,1,0.0358,0.0474,0.0,0.0897,0.624,160.111,spotify:track:2m3ObD945KvpE5y9A1eUWm
Forever & Always (Taylor’s Version),0.598,0.821,10,-4.433,1,0.0447,0.0231,0.0,0.14300000000000002,0.6729999999999999,128.03,spotify:track:1msEuwSBneBKpVCZQcFTsU
willow,0.392,0.579,7,-9.195,1,0.16399999999999998,0.835,0.00179,0.145,0.5489999999999999,80.961,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D
Don't Wanna Let You Down,0.6509999999999999,0.544,6,-6.837999999999999,1,0.0824,0.327,1.14e-06,0.0717,0.688,155.95,spotify:track:5LWN8bfW9gwf0kBOGZH3Zd
