Season,Name of Episode,ID of the Episode,Date Aired,Average Rating,Number of Ratings,Description
Season 1,Spark of Rebellion,S01E01,21 Aug. 2014,7.5,"2,125",Ezra Bridger encounters the Ghost crew and joins them on a mission to free Wookiees from an Imperial Star Destroyer.
Season 1,Droids in Distress,S01E02,13 Oct. 2014,7.1,"1,602",Ezra and Zeb go to Lothal's market for provisions and to work on their relationship.
Season 1,Fighter Flight,S01E03,20 Oct. 2014,6.7,720,"To prevent Ezra and Zeb from bickering, Hera sends them on a supply. En route back to the ghost, they encounter, Morad Sumar, a friend of Ezra's parents."
Season 1,Rise of the Old Masters,S01E04,20 Oct. 2014,8.1,"1,632",The rebel crew undergoes a rescue mission only to face a powerful foe.
Season 1,Breaking Ranks,S01E05,3 Nov. 2014,7.5,"1,499",The rebels send Ezra on an undercover mission into the Imperial Academy to steal a decoder.
Season 1,Out of Darkness,S01E06,3 Nov. 2014,6.9,"1,461","While on a supply run, Hera and Sabine find themselves stranded but not alone in a seemingly abandoned locale."
Season 1,Empire Day,S01E07,10 Nov. 2014,7.8,"1,466","While disrupting Empire Day festivities in order to destroy a prototype TIE fighter, the crew learns a refugee has important information and must get him off-planet before the Imperials find him."
Season 1,Gathering Forces,S01E08,17 Nov. 2014,8.2,"1,498",Kanan and Ezra try to protect an Imperial deserter by distracting the Imperial forces.
Season 1,Path of the Jedi,S01E09,29 Dec. 2014,8.5,"1,586",Ezra must face a great challenge as part of his growth as a member of the team.
Season 1,Idiot's Array,S01E10,12 Jan. 2015,7.5,"1,423",The wrong gamble with a new acquaintance forces the crew into transporting some unusual cargo.
Season 1,Vision of Hope,S01E11,26 Jan. 2015,7.4,"1,358",The crew of the Ghost try to thwart an Imperial plan to capture an exiled dignitary.
Season 1,Call to Action,S01E12,26 Jan. 2015,8.3,"1,473","As public awareness increases around rebel activity, they target an important Imperial network."
Season 1,Rebel Resolve,S01E13,16 Feb. 2015,8.0,"1,393",The team tries to get Kanan's location to free him.
Season 1,Fire Across the Galaxy,S01E14,2 Mar. 2015,9.2,"2,015",The crew has to go through many obstacles to save Kanan from the Inquisitor.
Season 2,The Siege of Lothal,S02E01,20 Jun. 2015,9.0,"1,986","Now a part of Phoenix Squadron, the Ghost crew joins a mission to steal shield generators from an Imperial freighter. Under pressure from Darth Vader, an Imperial defector leads the Sith Lord to battle with Kanan and Ezra."
Season 2,The Siege of Lothal: Part 2,S02E02,20 Jun. 2015,8.3,"1,452","After being confronted by Darth Vader, the Ghost crew seek help from Lando Calrissian to leave Lothal and continue the fight against the Empire with the rest of the rebel fleet."
Season 2,The Lost Commanders,S02E03,14 Oct. 2015,8.1,784,The rebels run into Captain Rex and his gang on a desert planet.
Season 2,Relics of the Old Republic,S02E04,21 Oct. 2015,8.4,"1,443","Ezra and the crew begin to develop friendships with Captain Rex and his colleagues, prompting them to work together against an attack by Agent Kallus."
Season 2,Always Two There Are,S02E05,28 Oct. 2015,7.8,"1,302","Ezra, Sabine, Zeb and Chopper travel to an abandoned medical station."
Season 2,Brothers of the Broken Horn,S02E06,4 Nov. 2015,7.3,"1,248","Ezra and Chopper take the Phantom to investigate a distress call from a smuggler's ship, where Ezra is tempted to join the crew of Hondo Ohnaka."
Season 2,Wings of the Master,S02E07,11 Nov. 2015,7.8,"1,247","Hera goes on a dangerous mission to acquire a new ship, the B-Wing."
Season 2,Blood Sisters,S02E08,18 Nov. 2015,7.0,"1,222","On a mission to escort a courier with secret information vital to the rebel cause to a rendezvous point, Sabine must face off against her old friend and partner."
Season 2,Stealth Strike,S02E09,25 Nov. 2015,8.3,"1,312","A new Imperial ship captures Ezra, Commander Sato, and his crew, forcing Kanan and Rex to go undercover as stormtroopers to free the rebels."
Season 2,The Future of the Force,S02E10,2 Dec. 2015,8.6,"1,408","Ezra and Kanan are sent to investigate the retrievals being made by the Inquisitors, learning of their plot to capture Force-sensitive infants."
Season 2,Legacy,S02E11,9 Dec. 2015,7.9,"1,249","As the Empire attacks the rebels, Ezra is drawn to information about his parents and their fate."
Season 2,A Princess on Lothal,S02E12,20 Jan. 2016,8.0,"1,285","Bail Organa sends his daughter to Lothal to help the rebellion acquire ships for their fleet, but an Imperial lockdown forces them to come up with a new plan."
