Season,Name of Episode,ID of the Episode,Date Aired,Average Rating,Number of Ratings,Description
Season 2,The Protector of Concord Dawn,S02E13,27 Jan. 2016,7.7,"1,201","In need of new hyperspace routes due to Imperial pressure, the rebels find a shortcut but must gain permission from the leader of the nearby system."
Season 2,Legends of the Lasat,S02E14,3 Feb. 2016,7.5,"1,260","The rebels are stunned to discover two Lasat refugees, and together they must evade the Empire to get the Lasat to their prophesized new home planet."
Season 2,The Call,S02E15,10 Feb. 2016,7.2,"1,228","On a mission to obtain fuel for the rebel fleet, the crew protects space creatures from the mining operation that threatens the creatures' lives."
Season 2,Homecoming,S02E16,17 Feb. 2016,7.5,"1,174",The Ghost crew journeys to Ryloth to aid a rebel cell.
Season 2,The Honorable Ones,S02E17,24 Feb. 2016,8.4,"1,389",Zeb and Agent Kallus are stranded on a frozen planet together and must work together to survive.
Season 2,Shroud of Darkness,S02E18,2 Mar. 2016,9.2,"1,707","Kanan, Ezra, and Ahsoka return to the Lothal Jedi Temple to find out how the Inquisitors have continually been able to track the rebels."
Season 2,The Forgotten Droid,S02E19,16 Mar. 2016,7.4,"1,286","When Chopper's attempts to buy a new leg fails, he ends up stealing one and escaping on an Imperial ship where he makes friends with an inventory droid."
Season 2,The Mystery of Chopper Base,S02E20,23 Mar. 2016,7.3,"1,211","The crew lands on the new base on a strange desert planet inhabited by strange spiderlike creatures. Ahsoka, Kanan and Ezra prepare to solve the mystery of Darth Vader."
Season 2,Twilight of the Apprentice: Part 1,S02E21,30 Mar. 2016,9.4,"1,081",The Jedi find an unexpected ally at the forbidden planet of Malachor.
Season 2,Twilight of the Apprentice: Part 2,S02E22,30 Mar. 2016,9.8,"4,183","After gaining information about the Sith, Kanan, Ezra and Ahsoka battle the Inquisitors with the help of a new ally, but are overmatched when Vader arrives."
Season 3,Steps Into Shadow: Part One,S03E01,24 Sep. 2016,8.3,"1,409","Ezra, Sabine, Zeb, Chopper and Hera set out to rescue Hondo Ohnaka, while Kanan finds an ancient Force creature known as the Bendu."
Season 3,Steps Into Shadow: Part Two,S03E02,24 Sep. 2016,8.4,64,"Know what this is about?
 Be the first one to add a plot."
Season 3,The Holocrons of Fate,S03E03,1 Oct. 2016,8.5,"1,325","When Maul takes the crew of the Ghost hostage, Ezra and Kanan must pass a trial in order to recover an ancient Sith artifact to save them."
Season 3,The Antilles Extraction,S03E04,8 Oct. 2016,7.6,"1,187",Sabine goes undercover as a cadet in the Empire's elite flight academy to help break out several young pilots wanting to defect to the rebellion.
Season 3,Hera's Heroes,S03E05,15 Oct. 2016,7.8,"1,197","While on her home world to save her father, Hera returns home to collect a priceless family heirloom and winds up in the hands of the occupying force - Grand Admiral Thrawn's."
Season 3,The Last Battle,S03E06,22 Oct. 2016,8.3,"1,319","On a salvage mission led by Captain Rex, the Ghost crew is captured by a unit of old battle droids determined to fight one last battle to end the Clone Wars."
Season 3,Imperial Supercommandos,S03E07,5 Nov. 2016,7.6,"1,141","After losing contact to the Protectors of Concord Dawn, Sabine, Ezra and Fenn Rau investigate. They quickly discover that Imperial Mandalorians have taken over the station."
Season 3,Iron Squadron,S03E08,19 Nov. 2016,6.3,"1,245","Ezra and Sabine join forces to subdue a young pilot ace and his crew, who are foolishly risking their lives to defend their home planet."
Season 3,The Wynkahthu Job,S03E09,26 Nov. 2016,6.7,"1,173","The rebels join forces with ruthless pirates to salvage a freighter full of weapons the rebellion needs. However, the mission turns out to be way more dangerous than they expected."
Season 3,An Inside Man,S03E10,3 Dec. 2016,8.2,"1,207","Ezra and Kanan infiltrate an Imperial factory on Lothal to investigate the production of a new weapon. With the help of Ryder, they have to trust an enemy to escape a lockdown."
Season 3,Visions and Voices,S03E11,10 Dec. 2016,8.6,"1,302","Haunted by visions of Maul, Ezra journeys across the galaxy to participate in a strange ritual which will sever his connection to the old master."
Season 3,Ghosts of Geonosis: Part 1,S03E12,7 Jan. 2017,7.9,"1,161","After finding a missing rebel team member, the Ghost crew discovers another surprise on Geonosis and works to conceal it from Imperial forces."
Season 3,Ghosts of Geonosis: Part 2,S03E13,7 Jan. 2017,7.9,"1,101","With finding Saw and making another discovery on Geonosis, the rebel team goes deeper into the tunnels just to see what is so important."
Season 3,Warhead,S03E14,14 Jan. 2017,7.2,"1,101","Chopper and Zeb find a droid out in the Atollon wasteland. Upon returning it to base, they learn that it is an Imperial droid programmed to hunt and kill rebels."
Season 3,Trials of the Darksaber,S03E15,21 Jan. 2017,9.0,"1,618","To help recruit her people to join the rebels, Sabine reluctantly agrees to learn to wield an ancient Mandalorian weapon but finds the challenge more difficult than expected."
Season 3,Legacy of Mandalore,S03E16,18 Feb. 2017,8.6,"1,330","Hoping to get her family to help the rebels, Sabine returns home with Kanan and Ezra, and finds herself embroiled in her family's power struggle for Mandalore."
Season 3,Through Imperial Eyes,S03E17,25 Feb. 2017,8.9,"1,343","The rebels attempt to save a rebel spy, fearing that their identity will be unveiled by the Empire."
Season 3,Secret Cargo,S03E18,4 Mar. 2017,8.1,"1,189","Hera, Zeb and Ezra are tasked with transporting a highly valuable Rebel leader away from Imperial control, but Thrawn's new TIE models prove trickier than the Ghost crew expected."
Season 3,Double Agent Droid,S03E19,11 Mar. 2017,7.0,"1,161","Chopper and AP-5 infiltrate an Imperial station in order to steal some necessary codes, when things go awry for the two droids and the crew of the Ghost."
Season 3,Twin Suns,S03E20,18 Mar. 2017,9.4,"2,199","Reacting to a vision of Maul, Ezra defies Hera and Kanan to travel to a remote planet in hopes of stopping the former Sith lord from carrying out his plans."
Season 3,Zero Hour: Part 1,S03E21,25 Mar. 2017,9.0,"1,309","The rebels make their final preparations for the attack on Lothal, but Grand Admiral Thrawn threatens to undo all that they have built."
Season 3,Zero Hour: Part 2,S03E22,25 Mar. 2017,8.9,"1,199",Hera and Kanan fight to keep the squadron alive while trapped on Atollon. Ezra seeks to break the blockade with help from an unlikely source.
Season 4,Heroes of Mandalore: Part 1,S04E01,16 Oct. 2017,7.8,"1,179",The rebels work with Mandalorian Clan Wren to free Sabine's father from the clutches of the Empire.
Season 4,Heroes of Mandalore: Part 2,S04E02,16 Oct. 2017,7.7,"1,143",Sabine learns that the devastating weapon the Empire is using against the Mandalorians is derived from her prototype. She has to decide whether to destroy it or use it herself.
Season 4,In the Name of the Rebellion: Part 1,S04E03,23 Oct. 2017,7.8,"1,074","As members of the Rebel Alliance, Ezra and the Ghost crew must accept a mission to spy on an Imperial outpost they would rather destroy."
Season 4,In the Name of the Rebellion: Part 2,S04E04,23 Oct. 2017,8.1,"1,072","After being separated from Hera and Kanan, Ezra and Sabine join the desperate quest of Saw Gerrera to hunt down the Empire's elusive secret superweapon."
Season 4,The Occupation,S04E05,30 Oct. 2017,7.6,"1,033",Ezra and the Ghost crew are called back to Lothal when a new Imperial threat rises.
Season 4,Flight of the Defender,S04E06,30 Oct. 2017,8.1,"1,070",Ezra and Sabine steal an Imperial prototype TIE fighter but must rely on some unexpected help to escape from Thrawn.
Season 4,Kindred,S04E07,6 Nov. 2017,8.2,"1,063","Tracked back to their hidden base by a mysterious Imperial agent, the rebels must trust some seemingly dangerous native creatures, who are far more than meets the eye."
Season 4,Crawler Commandeers,S04E08,6 Nov. 2017,7.1,"1,028","Desperate to contact Rebel command, the Ghost crew pirates a mining vehicle with long range communications gear, but the Empire arrives to spoil their plans."
Season 4,Rebel Assault,S04E09,13 Nov. 2017,8.3,"1,105","Hera leads a courageous attack against Grand Admiral Thrawn's forces, but when things go awry, her battle to win must become a daring escape if she is to survive."
Season 4,Jedi Night,S04E10,19 Feb. 2018,9.5,"1,811",The Ghost Crew infiltrates the Imperial headquarters on Lothal to save one of their own.
Season 4,DUME,S04E11,19 Feb. 2018,8.4,"1,201","Reeling from a devastating loss, the Ghost Crew rallies together to find a new purpose and resolve."
Season 4,Wolves and a Door,S04E12,26 Feb. 2018,8.6,"1,206",Ezra leads the Ghost crew back to the Jedi temple on Lothal where they discover that the Empire has diabolical plans for the powerful secrets it holds.
Season 4,A World Between Worlds,S04E13,26 Feb. 2018,9.5,"1,832","While the other rebels engage the Imperial forces outside the Jedi Temple, Ezra gains access inside and experiences a stunning revelation."
Season 4,A Fool's Hope,S04E14,5 Mar. 2018,8.8,"1,211",Ezra calls in every favor he can to rally together a ragtag group for a seemingly impossible fight against Governor Pryce and her Imperial forces.
Season 4,Family Reunion - and Farewell,S04E15,5 Mar. 2018,9.4,"1,822","Ezra's team takes drastic action to free Lothal, entering Imperial HQ, and Thrawn returns to stop them."
