Season,Name of Episode,ID of the Episode,Date Aired,Average Rating,Number of Ratings,Description
Season 1,An Unearthly Child (Pilot),S01E01,23 Nov. 1963,8.1,452,Schoolteachers Ian Chesterton and Barbara Wright follow mysterious pupil Susan Foreman to her home - a police box in a junk yard - and meet her grandfather the Doctor.
Season 1,An Unearthly Child,S01E02,23 Nov. 1963,8.3,"1,488",Two schoolteachers investigate the personal life of one of their brilliant students and her mysterious grandfather.
Season 1,The Cave of Skulls,S01E03,30 Nov. 1963,6.5,"1,054","The TARDIS takes its new passengers back to the dawn of history. There, the Doctor and his party are captured by a tribe who are trying to rediscover the secret of fire."
Season 1,The Forest of Fear,S01E04,7 Dec. 1963,6.4,957,Old Mother frees the Doctor and the others on condition they will leave the tribe and not make fire.The group attempt to return to the TARDIS but Za and Hur follow them.
Season 1,The Firemaker,S01E05,14 Dec. 1963,6.6,935,"Kal accuses Za of Old Mother's murder but the Doctor exposes him as the real killer.However, Za then insists the travellers be held prisoner until they show him how to make fire."
Season 1,The Dead Planet,S01E06,21 Dec. 1963,7.8,945,"The TARDIS lands in a petrified forest on an alien planet. Determined to explore, the Doctor leads his companions into the metal city, where they discover the danger of what will become his deadliest enemies, the mutant Daleks. (Originally broadcast in seven parts.)"
Season 1,The Survivors,S01E07,28 Dec. 1963,7.9,826,"The Doctor, Susan and Ian search the city for Barbara and learn that the area is contaminated with radiation.Then they encounter the Daleks."
Season 1,The Escape,S01E08,4 Jan. 1964,7.8,796,Susan meets Alydon of the Thals and agrees to try and arrange a treaty between his people and the Daleks. But the Daleks only see it as an opportunity to wipe the Thals out.
Season 1,The Ambush,S01E09,11 Jan. 1964,7.7,774,"The Doctor and his friends attempt to escape from the Dalek City. However, knowing that the Thals are walking into a trap, Ian decides to go and warn them."
Season 1,The Expedition,S01E10,18 Jan. 1964,7.4,747,The Doctor and his friends realise that their only chance of recovering the fluid link is to persuade the Thals to fight back against the Daleks.
Season 1,The Ordeal,S01E11,25 Jan. 1964,7.2,731,"While Ian, Barbara and their Thal friends try to find a way into the Dalek City through the mountains, the Doctor, Susan and Alydon attempt to make their own way in."
Season 1,The Rescue,S01E12,1 Feb. 1964,7.7,729,"Ian, Barbara and the surviving members of their party try to find a way into the Dalek City whilst Alydon prepares the other Thals for an attack. But only the Doctor and Susan are aware of the full extent of the threat the Daleks pose."
Season 1,The Edge of Destruction,S01E13,8 Feb. 1964,6.9,733,"In this completely TARDIS-based story, the crew find themselves and their ship acting very strangely indeed. Blame runs high for the Ship's unusual behavior, until the Doctor realizes the TARDIS itself may be trying to warn them... (Originally broadcast in two parts; also known in fan circles as ""Inside the Spaceship."")"
Season 1,The Brink of Disaster,S01E14,15 Feb. 1964,7.0,651,The Doctor becomes increasingly suspicious of Ian and Barbara but when the occurrences aboard the TARDIS become even stranger he realises they are in even greater danger than they realised.
Season 1,The Roof of the World,S01E15,22 Feb. 1964,7.4,348,"The TARDIS arrives on Earth in the 13th century, where it is claimed by famed explorer Marco Polo as a gift for his employer, Kublai Khan. Polo hopes to finally buy his way out of the Khan's service - but if he succeeds, the Doctor and his friends will never be able to get back to their Ship ever again... (Originally broadcast in seven parts.)"
