Season,Name of Episode,ID of the Episode,Date Aired,Average Rating,Number of Ratings,Description
Season 1,The Singing Sands,S01E16,29 Feb. 1964,7.1,323,"Tegana sabotages the party's water bags, leaving them in dire need of fresh supplies."
Season 1,Five Hundred Eyes,S01E17,7 Mar. 1964,7.1,320,"The Doctor and Susan are able to supply Marco with condensation that has formed inside the TARDIS, saving the group from dying of thirst.When the group are reunited with Tegana, the travelers begin to suspect he is up to something."
Season 1,The Wall of Lies,S01E18,14 Mar. 1964,7.1,315,The Doctor's group manage to rescue Barbara from the Mongols but once more Marco remains unaware of Tegana's involvement.
Season 1,Rider from Shang-Tu,S01E19,21 Mar. 1964,7.0,309,The Doctor and his friends elect to warn Marco of Acomat's attack even though it means losing their chance to gain access to the TARDIS.
Season 1,Mighty Kublai Khan,S01E20,28 Mar. 1964,7.1,305,"The Doctor, Ian and Barbara are forced to surrender to Tegana and Marco, leaving both of them the opportunity to gain possession of the TARDIS."
Season 1,Assassin at Peking,S01E21,4 Apr. 1964,7.3,310,"Tegana finally makes his move to assassinate the Khan, giving the Doctor and his friends an opportunity to thwart his plans and regain the TARDIS."
Season 1,The Sea of Death,S01E22,11 Apr. 1964,7.2,524,"On the planet Marinus, the Doctor and his companions are enlisted by Arbitan to seek out the keys to an ancient and powerful machine. Their quest takes them across time and space; will they be able to return the keys before Marinus falls under the control of the alien Voord? (Originally broadcast in six parts.)"
Season 1,The Velvet Web,S01E23,18 Apr. 1964,7.3,491,The Doctor and his friends arrive in the apparently idyllic city of Morphoton but Barbara soon begins to realise there is more to their hosts than meets the eye.
Season 1,The Screaming Jungle,S01E24,25 Apr. 1964,7.0,482,The search for the second key takes the travellers to a jungle where Ian and Barbara come under threat from rapidly growing plants.
Season 1,The Snows of Terror,S01E25,2 May 1964,6.8,476,"Searching for the third key, Ian and Barbara meet with the sinister trapper Vasor before following Susan and the others into a cave system guarded by the mysterious Ice Soldiers."
Season 1,Sentence of Death,S01E26,9 May 1964,7.2,467,The group are reunited with the Doctor in the city of Millennius where Ian faces trial for murder after the fourth key is stolen.
Season 1,The Keys of Marinus,S01E27,16 May 1964,7.2,499,The Doctor and his friends must locate the real murderers and the fourth key before heading off for a final confrontation with the Voord.
Season 1,The Temple of Evil,S01E28,23 May 1964,7.5,665,The TARDIS arrives on Earth landing in 16th century Aztec society. Barbara goes off exploring - despite the Doctor's orders not to wander off - and is taken away by the high priest Autloc who believes she is the reincarnation of the goddess Yetaxa. They believe it is a sign that the rains - which are late - will now come. The high priest of sacrifice Tlotoxl recruits Ian to lead their army but he finds he has a rival in Ixta. Ian is less than comfortable with his role when he learns that they are to deliver the human sacrifice to the high priest at the rain ceremony. ...
Season 1,The Warriors of Death,S01E29,30 May 1964,7.5,576,Barbara tries to change the course of history - and Ian fights for his life.
Season 1,The Bride of Sacrifice,S01E30,6 Jun. 1964,7.6,569,"While the Doctor tries to find a way back to the TARDIS, Tlotoxl continues to plot Barbara's downfall and sees an opening when Susan questions Aztec custom."
Season 1,The Day of Darkness,S01E31,13 Jun. 1964,7.6,560,"Tlotoxl's machinations result in both Susan and Ian being arrested.With the TARDIS once again trapped inside the tomb, the travelers' only hope for escape lies with Autloc and Cameca."
Season 1,Strangers in Space,S01E32,20 Jun. 1964,7.0,445,"The TARDIS arrives aboard a spaceship that has been captured by the Sensorites, a hearing-sensitive alien race. The Sensorites are dying, and the Doctor finds himself forced to investigate the origin of the mysterious illness. (Originally broadcast in six parts.)"
Season 1,The Unwilling Warriors,S01E33,27 Jun. 1964,6.7,414,The ship has been boarded by the Sensorites and the race is on to retrieve Susan and Barbara before they can find them.
Season 1,Hidden Danger,S01E34,11 Jul. 1964,6.6,407,"The Doctor, Susan and Ian agree to accompany the Sensorites to their home planet in the hope of finding a cure for John. But not everyone is willing to welcome them there."
Season 1,A Race Against Death,S01E35,18 Jul. 1964,6.7,402,"With Ian having fallen victim to the Sensorites' plague, the Doctor is desperate to find a cure. But the City Administrator is still determined to rid his world of aliens."
Season 1,Kidnap,S01E36,25 Jul. 1964,6.5,400,The City Administrator is determined to destroy the Doctor and his friends and his paranoia prevents the Doctor's cure from being distributed.
Season 1,A Desperate Venture,S01E37,1 Aug. 1964,6.5,400,"While the City Administrator's schemes reach their climax, the Doctor and Ian venture into the tunnels under the city to discover the real cause of the Sensorite plague."
Season 1,A Land of Fear,S01E38,8 Aug. 1964,6.9,367,"The TARDIS lands during the French Revolution, where Ian, Barbara, and Susan become caught up in the politics of the day. When they are arrested and set to be executed, the Doctor must take on the disguise of a public official to try and save their lives. (Originally broadcast in six parts.)"
Season 1,Guests of Madame Guillotine,S01E39,15 Aug. 1964,6.7,334,"Susan, Ian and Barbara are sentenced to be guillotined but an encounter with a dying English prisoner may offer Ian a chance of survival."
Season 1,A Change of Identity,S01E40,22 Aug. 1964,6.6,322,"Susan and Barbara are rescued by Jules and Jean, two members of the escape chain, while the Doctor gains access to the prison by posing as a revolution official."
Season 1,The Tyrant of France,S01E41,29 Aug. 1964,6.4,319,The Doctor is forced into a meeting with Robespierre while Barbara's attempts to find a physician for Susan result in them being betrayed.
Season 1,A Bargain of Necessity,S01E42,5 Sep. 1964,6.5,312,Ian finds himself held prisoner by the treacherous Leon while the Doctor attempts to engineer Susan and Barbara's escape.
Season 1,Prisoners of Conciergerie,S01E43,12 Sep. 1964,6.7,323,Ian finally delivers his message to James Stirling but in order to secure Susan's release he and Barbara are forced into a dangerous spying mission.
Season 2,Planet of Giants,S02E01,31 Oct. 1964,7.0,437,"When the TARDIS malfunctions and the doors open in the time vortex, the travelers and their Ship shrink to the size of insects. When they arrive on Earth, they uncover a murderous plot involving a new insecticide - but how can they stop the crime in their miniaturized condition? (Originally broadcast in three parts.)"
Season 2,Dangerous Journey,S02E02,7 Nov. 1964,7.0,388,"Ian and Barbara are accidentally taken into Smithers' laboratory and, while the Doctor and Susan face a hazardous journey to reach them, they witness the deadly effects of DN6 first hand."
Season 2,Crisis,S02E03,14 Nov. 1964,6.7,384,The Doctor and his friends face a race against time to expose Forrester's plans and return to normal size before Barbara succumbs to the effects of DN6.
Season 2,World's End,S02E04,21 Nov. 1964,8.1,532,"Ian and Barbara believe the TARDIS has finally returned to their contemporary London, but soon discover signs of plague and warfare. Their old enemies, the Daleks, have invaded the Earth of the 22nd century. Separated and fighting for their lives, the travelers must try to aid the remaining humans and overthrow the Daleks' cruel tyranny. (Originally broadcast in six parts.)"
Season 2,The Daleks,S02E05,28 Nov. 1964,8.1,521,The Doctor and Ian are taken to the Dalek saucer while Susan and Barbara join the rebels in planning an attack.
Season 2,Day of Reckoning,S02E06,5 Dec. 1964,8.1,477,"The Doctor manages to escape from the Dalek saucer and meet up with Susan and David but Ian is left trapped onboard. Meanwhile, Barbara and her new friends face a dangerous journey across London."
Season 2,The End of Tomorrow,S02E07,12 Dec. 1964,7.8,460,"While Susan and David try to find a way out of London, Ian and Larry infiltrate the Dalek mine workings."
Season 2,The Waking Ally,S02E08,19 Dec. 1964,7.9,464,The Doctor's party investigate the Daleks' central control in Bedfordshire while Barbara and Jenny's attempt to reach it are derailed when they are betrayed.
Season 2,Flashpoint,S02E09,26 Dec. 1964,8.5,494,The Daleks' plan to transform Earth into a giant spaceship and wipe out its inhabitants is nearing completion and the Doctor and his friends face a race against time to prevent them from destroying the planet's core.
Season 2,The Powerful Enemy,S02E10,2 Jan. 1965,7.2,426,"On the planet Dido, the monstrous Koquillion terrorizes Bennett and Vicki, the only survivors of a crashed spaceship. When the TARDIS lands, the Doctor, Ian, and Barbara team up with Vicki to discover what Koquillion is hiding. (Originally broadcast in two parts.)"
Season 2,Desperate Measures,S02E11,9 Jan. 1965,7.3,392,"The Doctor and Ian reach the crashed spaceship and meet up with Barbara and Vicki, where the Doctor uncovers the truth about Koquillion."
Season 2,The Slave Traders,S02E12,16 Jan. 1965,7.5,411,"The travelers decide to take a holiday near ancient Rome, but after a month the Doctor gets restless. He and Vicki determine to visit Rome, and while they are gone Ian and Barbara are abducted by slave traders. All roads lead to Rome, however, and the travelers find themselves at the mercy of the country's petulant emperor, Nero... (Originally broadcast in four parts.)"
Season 2,All Roads Lead to Rome,S02E13,23 Jan. 1965,7.5,381,"While the Doctor and Vicki meet with Nero, Barbara is taken to Rome to be sold while Ian is forced to work as a galley slave."
Season 2,Conspiracy,S02E14,30 Jan. 1965,7.5,380,Ian and Delos are forced to fight each other for their freedom while the Doctor has to perform for Nero's court.
Season 2,Inferno,S02E15,6 Feb. 1965,7.7,383,Ian and Delos manage to escape from Sevcheria and Tavius agrees to help Barbara rejoin them.The Doctor's attempts to avoid being thrown to the lions inadvertently result in Nero deciding to burn down Rome.
Season 2,The Web Planet,S02E16,13 Feb. 1965,6.4,437,"The TARDIS is drawn by a mysterious force and lands on the alien planet Vortis. There the Doctor, Ian, Barbara and Vicki find themselves caught up in a war between an evil force known as ""The Animus"", its ant-like Zarbi allies, and the butterfly-like Menoptra race and their allies the subterranean Optera."
Season 2,The Zarbi,S02E17,20 Feb. 1965,6.0,380,"The Doctor, Ian and Vicki are captured by the Zarbi while Barbara meets up with the butterfly-like Menoptera who are trying to reclaim the planet."
Season 2,Escape to Danger,S02E18,27 Feb. 1965,5.8,361,The Doctor is forced to co-operate with the Animus but Ian uses the opportunity to make an escape attempt.
Season 2,Crater of Needles,S02E19,6 Mar. 1965,5.7,362,Ian and Vrestin are captured by the subterranean Optera while Barbara and her Menoptera allies attempt to escape from the slave camp.
Season 2,Invasion,S02E20,13 Mar. 1965,5.8,356,Barbara and the surviving Menoptera take refuge in the Temple of Light while the Doctor and Vicki attempt to escape by taking control of a Zarbi.
Season 2,The Centre,S02E21,20 Mar. 1965,5.7,352,The Doctor and Vicki are taken before the Animus but the isoptope is left behind in the laboratory.The only hope of victory lies with Barbara and her Menoptera allies.
Season 2,The Lion,S02E22,27 Mar. 1965,7.2,301,"The TARDIS lands in the Holy Land during the Third Crusade and the crew help save Richard the Lionheart from an ambush, but Barbara is captured and brought before Saladin."
Season 2,The Knight of Jaffa,S02E23,3 Apr. 1965,6.9,244,"While the Doctor, Ian, and Vicki are drawn into the intrigues of King Richard's court, Barbara has to cope with an impatient Saladin and the vengeful El Akir."
Season 2,The Wheel of Fortune,S02E24,10 Apr. 1965,7.3,278,Barbara allies herself with a man whose were murdered by El Akir as the Doctor and Vicki are caught up in Richard's plan to offer his sister's hand in marriage to Saladin's brother.
Season 2,The Warlords,S02E25,17 Apr. 1965,7.0,238,Ian sets out with a reluctant accomplice to rescue Barbara from El Akir's palace as the Doctor and Vicki try to evade the suspicions of the Earl of Leicester.
Season 2,The Space Museum,S02E26,24 Apr. 1965,7.9,411,The TARDIS arrives on a planet that has been turned into a space museum but the Doctor and his friends are puzzled when they find themselves out of phase with their surroundings.
Season 2,The Dimensions of Time,S02E27,1 May 1965,7.1,346,"Now back on their proper time track, the Doctor and his friends must work to avoid the future they saw for themselves."
Season 2,The Search,S02E28,8 May 1965,6.7,341,"With the Doctor missing, Ian, Barbara and Vicki find themselves in danger from the Moroks while the Xerons also try to make contact with them."
Season 2,The Final Phase,S02E29,15 May 1965,6.7,347,"While Ian tries to force Lobos to release the Doctor from the museum, Vicki joins the Xerons in trying to gain the weapons needed to start a revolution against the occupiers."
Season 2,The Executioners,S02E30,22 May 1965,7.3,380,"The Doctor has assembled a new time machine with a TV screen showing scenes in the past to order, Lincoln, Shakespeare and the Beatles are selected. They land on a barren planet with two suns,and become separated.A sandstorm causes the Doctor and Barbara to lose the TARDIS,Ian and Vicky meet an octopus-like monster, and the Daleks arrive, still hunting for them."
Season 2,The Death of Time,S02E31,29 May 1965,7.0,346,"While Ian and Vicki are threatened by a Mire Beast, the Doctor and Barbara meet up with the Aridians...who are then ordered to hand them over to the Daleks."
Season 2,Flight Through Eternity,S02E32,5 Jun. 1965,7.2,350,The TARDIS crew's attempts to escape from the Daleks take them to the top of the Empire State Building and a 19th century sailing ship.
Season 2,Journey Into Terror,S02E33,12 Jun. 1965,6.9,349,The TARDIS lands in a haunted house where the Doctor and his friends are confronted by Dracula and Frankenstein's Monster...and then the Daleks appear.
Season 2,The Death of Doctor Who,S02E34,19 Jun. 1965,7.2,347,"With Vicki trapped on board the Dalek time machine, the Doctor, Ian and Barbara decide to make their stand on the planet Mechanus."
Season 2,The Planet of Decision,S02E35,26 Jun. 1965,7.9,360,The Doctor and his friends are taken into the Mechanoid City but their troubles are far from over...especially when the Daleks launch an attack.
Season 2,The Watcher,S02E36,3 Jul. 1965,7.8,408,"The Doctor, Vicki, and Steven Taylor, go to 1066 England, but something doesn't seem right including modern inventions like a Gramaphone and electricity. Could there be another time traveller?"
Season 2,The Meddling Monk,S02E37,10 Jul. 1965,7.5,395,The Doctor is being held prisoner by the Monk and Steven and Vicki's search for him brings them to the Saxon village.But a greater danger threatens when a Viking raiding party arrives.
Season 2,A Battle of Wits,S02E38,17 Jul. 1965,7.8,374,The Doctor manages to escape from his cell and get the upper hand on the Monk but his plans are derailed when Sven and Ulf arrive at the monastery.
Season 2,Checkmate,S02E39,24 Jul. 1965,8.1,387,The Doctor finally discovers what the Monk is up to and must move fast to prevent his opponent from altering the course of history.
Season 3,Four Hundred Dawns,S03E01,11 Sep. 1965,6.4,231,"After an encounter with a hostile robot called a Chumblie, the Doctor and his companions are rescued by a group of female Drahvins."
Season 3,Trap of Steel,S03E02,18 Sep. 1965,6.3,217,"With the knowledge that the planet will be destroyed in two days, the Drahvins instruct the Doctor to help them steal the Rills' ship."
Season 3,Air Lock,S03E03,25 Sep. 1965,6.6,235,The Doctor and Vicki encounter the Rills and learn the situation is more complex than they thought while Steven finds the Drahvins' hospitality ever more perilous.
Season 3,The Exploding Planet,S03E04,2 Oct. 1965,6.4,217,The Doctor and Vicki enlist the aid of the Chumblies to rescue Steven from the Drahvins and then find a way off the planet before its destruction.
Season 3,Mission to the Unknown,S03E05,9 Oct. 1965,7.2,236,"Whilst The Doctor, Steven and Vicki are traveling to their next destination, on the planet Kembel, Marc Cory, a Space Security Service agent discovers The Daleks are attending a secret meeting with their allies. Where Cory discovers the Dalek's evil plan, which sets the stage for the epic 12-part adventure ""The Dalek Master Plan""."
Season 3,Temple of Secrets,S03E06,16 Oct. 1965,7.2,213,"The TARDIS lands in the middle of the Trojan War, where the Doctor is mistaken for the god Zeus."
Season 3,"Small Prophet, Quick Return",S03E07,23 Oct. 1965,7.3,202,"While Odysseus forces the Doctor to find a way to win the war, Steven decides to get himself taken prisoner in order to enter Troy and find Vicki and the TARDIS."
Season 3,Death of a Spy,S03E08,30 Oct. 1965,7.4,199,"With Steven and Vicki being held prisoner by the Trojans, the Doctor's only hope of seeing them again is to suggest the idea of the Trojan Horse."
Season 3,Horse of Destruction,S03E09,6 Nov. 1965,7.6,200,The Doctor waits inside the Trojan Horse for a chance to reach his companions but Steven's assumed identity as a Greek soldier and Vicki's growing feelings for Troilus endanger their escape.
Season 3,The Nightmare Begins,S03E10,13 Nov. 1965,8.1,234,The Doctor runs afoul of the Daleks and Special Security Agent Bret Vyon on the planet Kembel.
Season 3,Day of Armageddon,S03E11,20 Nov. 1965,8.0,262,"The Doctor infiltrates the Daleks' conference to try and discover their plans, leaving Steven, Katarina and Bret to find a way off the planet."
Season 3,Devil's Planet,S03E12,27 Nov. 1965,7.7,211,"The Doctor and his friends escape Kembel in the Spar ship but the Daleks force them down on the planet Desperus, where they are threatened by a group of convicts."
Season 3,The Traitors,S03E13,4 Dec. 1965,8.2,217,"With Katarina being held hostage, the Doctor, Steven and Bret are in danger of having to given in to Kirksen's demands, while, on Earth, Chen has them listed as traitors."
Season 3,Counter Plot,S03E14,11 Dec. 1965,7.7,252,"The Doctor, Steven and Sara are accidentally transported to the planet Mira where Chen sends the Daleks after them."
Season 3,Coronas of the Sun,S03E15,18 Dec. 1965,7.9,212,"The Doctor, Steven and Sara escape Mira in a Dalek pursuit ship but when they find the ship is returning to Kembel, they are forced to come up with a new plan to avoid the Daleks."
Season 3,The Feast of Steven,S03E16,25 Dec. 1965,6.6,220,"The Doctor, Steven and Sara visit a Liverpool police station on Christmas Day and a Hollywood film set during the 1920s."
Season 3,Volcano,S03E17,1 Jan. 1966,7.7,208,"The Daleks realise the Doctor has given them a fake Taranium Core while, on the planet Tigus, the Doctor encounters the Meddling Monk."
Season 3,Golden Death,S03E18,8 Jan. 1966,7.7,212,"The Doctor, Steven and Sara travel to Ancient Egypt, pursued by both the Daleks and the Meddling Monk."
Season 3,Escape Switch,S03E19,15 Jan. 1966,7.7,248,"Steven, Sara and the Monk are captured by the Daleks in order to force the Doctor to hand over the Taranium Core."
Season 3,The Abandoned Planet,S03E20,22 Jan. 1966,8.0,212,"The Doctor, Steven and Sara reach Kembel where they find the Daleks have betrayed their allies and imprisoned them."
Season 3,Destruction of Time,S03E21,29 Jan. 1966,8.8,252,"With the Daleks poised to invade the solar system, the Doctor decides his only option is to activate the Time Destructor prematurely, threatening the entire planet."
Season 3,War of God,S03E22,5 Feb. 1966,7.4,208,The TARDIS lands in sixteenth century Paris and Steven becomes involved with a group of Huguenots.
Season 3,The Sea Beggar,S03E23,12 Feb. 1966,7.3,194,"While trying to find the Doctor, Steven discovers a conspiracy to assassinate a man known as the Sea Beggar."
Season 3,Priest of Death,S03E24,19 Feb. 1966,7.3,197,"Steven has discovered the identity of the Sea Beggar, but can he warn the Huguenots in time?"
Season 3,Bell of Doom,S03E25,26 Feb. 1966,7.7,197,"Steven rejoins the Doctor and they leave Paris just ahead of the massacre, leaving Anne behind."
Season 3,The Steel Sky,S03E26,5 Mar. 1966,7.2,329,"The Doctor, Steven and Dodo arrive on a giant spaceship millions of years in the future, transporting the last humans away from the doomed Earth."
Season 3,The Plague,S03E27,12 Mar. 1966,7.2,304,"With the Ark infected with a cold virus, the Doctor must convince the Guardians to trust him so he can find a cure."
Season 3,The Return,S03E28,19 Mar. 1966,7.1,303,"The Doctor, Steven and Dodo have traveled 700 years into the future and find that the Ark is now under the control of the Monoids as it approaches Refusis."
Season 3,The Bomb,S03E29,26 Mar. 1966,7.0,305,"The Monoids abandon the Ark, leaving Steven and the Guardians to die, but a mutiny in their ranks may give the Doctor a chance to bring about peace."
Season 3,The Celestial Toyroom,S03E30,2 Apr. 1966,6.7,227,"The Doctor, Steven and Dodo arrive in the realms of the Celestial Toymaker, who forces them to play his deadly games."
Season 3,The Hall of Dolls,S03E31,9 Apr. 1966,6.2,201,"While the Doctor continues to play the Trilogic Game with the Toymaker, Steven and Dodo are involved in a deadly game of musical chairs."
Season 3,The Dancing Floor,S03E32,16 Apr. 1966,6.1,199,"Steven and Dodo are forced to cross the dancing floor, where the Toymaker's dolls plan to force them to dance for eternity."
Season 3,The Final Test,S03E33,23 Apr. 1966,6.7,253,"As the Doctor nears the end of his game against the Toymaker, Steven and Dodo take on Cyril in a lethal game of hopscotch to try and recover the TARDIS."
Season 3,A Holiday for the Doctor,S03E34,30 Apr. 1966,6.5,342,"The TARDIS arrives in Tombstone, Arizona in 1881. Where the Doctor is looking for a dentist when he has a toothache, where The Doctor finds the local dentist is the famous Doc Holliday who is in a feud with The Clanton Brothers and their hired gunfighter Johnny Ringo, whilst local sheriff Wyatt Earp is trying to keep the peace. The Doctor, Steven and Dodo find themselves joining forces with The Clanton Brothers and Sheriff Wyatt Earp."
Season 3,Don't Shoot the Pianist,S03E35,7 May 1966,6.3,316,"With the Clantons believing the Doctor to be Doc Holliday, Wyatt Earp takes him into protective custody but this leaves Steven and Dodo in danger."
Season 3,Johnny Ringo,S03E36,14 May 1966,6.1,319,"Earp comes to Steven's rescue and arrests Phineas Clanton, prompting the Clantons to decide to enlist the help of Johnny Ringo."
Season 3,The O.K. Corral,S03E37,21 May 1966,6.3,318,"The Clantons have shot Warren Earp, leading to a showdown between the two families with the Doctor powerless to prevent bloodshed."
Season 3,The Savages: Episode 1,S03E38,28 May 1966,6.8,194,"The Doctor, Steven and Dodo arrive in the far future and are welcomed by the advanced civilisation of the Elders but soon begin to suspect they are hiding a secret."
Season 3,The Savages: Episode 2,S03E39,4 Jun. 1966,6.9,181,"The Doctor, Steven and Dodo investigate why there are Savages in the Elders' city and uncover the true price of the Elders' perfect society."
Season 3,The Savages: Episode 3,S03E40,11 Jun. 1966,6.8,182,The Doctor has been subjected to the Elders' extraction process and Steven and Dodo must return to their city to rescue him.
Season 3,The Savages: Episode 4,S03E41,18 Jun. 1966,7.1,186,The Doctor urges the Savages to finally bring an end to the Elders' oppression and enlists the help of an unlikely ally.
Season 3,The War Machines: Episode 1,S03E42,25 Jun. 1966,7.5,379,"The Doctor and Dodo return to London in the present day where the Doctor becomes concerned about WOTAN, a new super-computer installed in the Post Officer Tower."
Season 3,The War Machines: Episode 2,S03E43,2 Jul. 1966,7.3,339,"Dodo is under the control of WOTAN and attempts to lure the Doctor into a trap, while the rest of WOTAN's slaves begin construction on its robotic War Machines."
Season 3,The War Machines: Episode 3,S03E44,9 Jul. 1966,7.4,337,"Ben tries to escape from the warehouse but is captured by Polly, who is now also under WOTAN's control, and forced to work on construction the War Machine."
Season 3,The War Machines: Episode 4,S03E45,16 Jul. 1966,7.4,334,The first War Machine is defeated but the Doctor only has a matter of hours to destroy WOTAN before the rest of its army is activated.
Season 4,The Smugglers: Episode 1,S04E01,10 Sep. 1966,6.5,200,"The Doctor discovers Polly and Ben aboard the TARDIS shortly before the ship arrives in 17th century Cornwall, where the local churchwarden gives the Doctor a cryptic message shortly before being murdered."
Season 4,The Smugglers: Episode 2,S04E02,17 Sep. 1966,6.3,186,Pike is convinced that the Doctor knows the location of Avery's treasure while Polly and Ben try to convince the locals they were not responsible for Longfoot's murder.
Season 4,The Smugglers: Episode 3,S04E03,24 Sep. 1966,6.4,184,"Polly and Ben are placed in the custody of Blake, who reveals he also has his suspicions about the Squire, while the Doctor and Kewper are forced to team up to escape from Pike's ship."
Season 4,The Smugglers: Episode 4,S04E04,1 Oct. 1966,6.3,188,"The Doctor and his friends are at the mercy of Cherub, who is now seeking Avery's treasure for himself, while Pike prepares to attack the village."
Season 4,The Tenth Planet: Episode 1,S04E05,8 Oct. 1966,7.9,395,"In December 1986, a new planet appears in the Solar System which turns out to be a long-lost twin of Earth's named Mondas. Its inhabitants are the Cybermen."
Season 4,The Tenth Planet: Episode 2,S04E06,15 Oct. 1966,7.9,347,"The Doctor's warnings are ignored and the Cybermen take over the base, hampering the crew's efforts to help Zeus IV."
Season 4,The Tenth Planet: Episode 3,S04E07,22 Oct. 1966,7.6,343,"With the Doctor out of action, it is up to Polly, Ben and Barclay to stop Cutler using the Z-Bomb and devastating half the world."
Season 4,The Tenth Planet: Episode 4,S04E08,29 Oct. 1966,8.3,364,"The Cybermen take over the base again, apparently to stop the humans using the Z-Bomb, but then the Doctor realises they intend to use it themselves to destroy Earth."
Season 4,The Power of the Daleks: Episode One,S04E09,5 Nov. 1966,8.4,382,The TARDIS arrives on the Earth colony of Vulcan where the newly-regenerated Doctor assumes the identity of an Earth Examiner.
Season 4,The Power of the Daleks: Episode Two,S04E10,12 Nov. 1966,8.3,332,"While the Doctor worries about the inert Daleks in the capsules, Lesterson makes plan to reactivate one of them."
Season 4,The Power of the Daleks: Episode Three,S04E11,19 Nov. 1966,8.2,330,The Doctor fails to convince the colonists of the danger posed by the Daleks and soon the other two are also reactivated.
Season 4,The Power of the Daleks: Episode Four,S04E12,26 Nov. 1966,8.4,328,"With Polly being held prisoner by the rebels, the Doctor and Ben decide to investigate them, while Lesterson discovers the Daleks are reproducing."
Season 4,The Power of the Daleks: Episode Five,S04E13,3 Dec. 1966,8.2,322,The Doctor and Quinn attempt to escape in order to stop Bragen using the Daleks to take over the colony.
Season 4,The Power of the Daleks: Episode Six,S04E14,10 Dec. 1966,8.5,336,"With Bragen having taken over, the Daleks trick the rebels into turning them loose and only the Doctor can stop them wiping out the entire colony."
Season 4,The Highlanders: Episode 1,S04E15,17 Dec. 1966,6.6,205,"The Doctor, Polly and Ben arrive in 1746, in the aftermath of the Battle of Culloden, and are captured by a group of Highlanders shortly before they themselves are captured by redcoats."
Season 4,The Highlanders: Episode 2,S04E16,24 Dec. 1966,6.6,193,Polly and Kirsty capture Lieutenant Ffinch to try and enlist his help while the Doctor tricks Gray in order to escape.
Season 4,The Highlanders: Episode 3,S04E17,31 Dec. 1966,6.6,190,"With the Highlanders imprisoned aboard Trask's ship, the Doctor attempts to expose Grey's plan."
Season 4,The Highlanders: Episode 4,S04E18,7 Jan. 1967,6.6,194,"Ben manages to join up with the Doctor, Polly and Kirsty and together they work to free the Highlanders from Trask's ship before Grey sells them into slavery."
