artistName,trackName,Minutes Played
Ed Sheeran,Give Me Love,0.78
Ed Sheeran,Little Bird - Deluxe Edition,0.24
Ed Sheeran,Autumn Leaves - Deluxe Edition,0.96
Ed Sheeran,Gold Rush - Deluxe Edition,0.89
Ed Sheeran,I'm a Mess,0.03
Ed Sheeran,I'm a Mess,0.25
Ed Sheeran,One,0.01
Ed Sheeran,One,1.67
Ed Sheeran,Sing,0.67
Ed Sheeran,Don't,0.86
Ed Sheeran,Nina,0.41
Ed Sheeran,Bloodstream,0.17
Ed Sheeran,Photograph,0.1
Ed Sheeran,Tenerife Sea,0.86
Ed Sheeran,Afire Love,0.25
Ed Sheeran,Thinking out Loud,0.1
Ed Sheeran,The Man,0.26
Ed Sheeran,Runaway,0.15
Ed Sheeran,Take It Back,0.22
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",0.33
Ed Sheeran,Even My Dad Does Sometimes,0.09
Ed Sheeran,Shirtsleeves,0.66
Ed Sheeran,One,1.5
Ed Sheeran,Give Me Love,0.19
Ed Sheeran,Eraser,0.53
Ed Sheeran,Sing,0.27
Ed Sheeran,Castle on the Hill,0.8
Ed Sheeran,Shape of You,0.32
Ed Sheeran,Shape of You (feat. Nyla & Kranium) - Major Lazer Remix,1.77
Ed Sheeran,Shape of You,0.57
Ed Sheeran,Kiss Me,0.23
Ed Sheeran,Give Me Love,0.26
Taylor Swift,my tears ricochet,0.04
Taylor Swift,tolerate it,0.04
Taylor Swift,willow,0.48
Taylor Swift,willow,0.14
Taylor Swift,willow,0.07
Taylor Swift,willow,1.13
Taylor Swift,Red,0.06
Taylor Swift,willow - lonely witch version,0.82
Céline Dion,Falling Into You,0.35
Taylor Swift,cardigan,3.99
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,this is me trying,3.25
Taylor Swift,willow,3.58
Taylor Swift,Enchanted,5.87
Taylor Swift,peace,3.9
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,the 1,3.5
Taylor Swift,tolerate it,4.09
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,mad woman,3.95
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Red,3.72
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,this is me trying,3.25
Taylor Swift,willow,3.58
Taylor Swift,Enchanted,10.19
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,mad woman,0.02
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),0.03
Taylor Swift,tolerate it,0.03
Taylor Swift,You Belong With Me,0.64
Taylor Swift,the 1,3.5
Taylor Swift,Red,3.72
Taylor Swift,cardigan,3.99
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,this is me trying,0.16
Taylor Swift,willow,0.98
Taylor Swift,willow,3.58
Taylor Swift,tolerate it,3.24
Taylor Swift,Red,1.2
Taylor Swift,Red,2.46
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,evermore (feat. Bon Iver),0.07
Taylor Swift,willow,3.58
Taylor Swift,Enchanted,5.87
Taylor Swift,tolerate it,0.24
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Red,3.72
Taylor Swift,the 1,3.5
Taylor Swift,mad woman,0.37
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,cardigan,3.99
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,this is me trying,2.19
Taylor Swift,Our Song,0.97
Taylor Swift,the 1,0.53
Taylor Swift,Mean,0.72
Taylor Swift,State Of Grace,0.99
Taylor Swift,Style,1.42
Taylor Swift,Love Story,0.59
Taylor Swift,Dear John,0.71
Taylor Swift,Blank Space,3.45
Céline Dion,All By Myself,2.84
Mariah Carey,Hero,0.16
Taylor Swift,Enchanted,1.51
Taylor Swift,Enchanted,4.36
Taylor Swift,the 1,3.5
Taylor Swift,willow,3.58
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,You Belong With Me,3.85
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,cardigan,3.99
Taylor Swift,this is me trying,3.25
Taylor Swift,tolerate it,0.39
Taylor Swift,Enchanted,1.04
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Red,3.72
Taylor Swift,Enchanted,5.87
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,willow,3.58
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Red,3.72
Taylor Swift,Enchanted,5.87
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,willow,3.58
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Red,3.72
Taylor Swift,Enchanted,5.87
Taylor Swift,evermore (feat. Bon Iver),5.07
