Date,Minutes Played,Hours Played
23 Jul 2021,88.86,1.48
07 Aug 2021,88.71,1.48
22 May 2021,85.92,1.43
24 Jun 2021,85.75,1.43
28 Jul 2021,85.66,1.43
06 Jun 2021,85.62,1.43
08 Apr 2021,85.21,1.42
28 Jan 2021,84.91,1.42
04 May 2021,84.85,1.41
19 Apr 2021,84.23,1.4
13 Jun 2021,82.79,1.38
21 Aug 2021,82.67,1.38
04 Jun 2021,82.67,1.38
29 Jul 2021,82.12,1.37
17 Jun 2021,79.95,1.33
16 Jun 2021,79.49,1.32
07 Jun 2021,78.49,1.31
09 Jun 2021,78.18,1.3
25 Aug 2021,77.45,1.29
17 Apr 2021,76.95,1.28
21 May 2021,76.85,1.28
15 Jun 2021,75.6,1.26
02 Sep 2021,74.34,1.24
05 Jun 2021,74.24,1.24
11 Jul 2021,73.34,1.22
15 Aug 2021,72.65,1.21
08 Jun 2021,72.09,1.2
30 Aug 2021,71.32,1.19
27 Aug 2021,71.25,1.19
24 May 2021,70.04,1.17
03 Sep 2021,69.62,1.16
22 Aug 2021,67.39,1.12
01 Jun 2021,66.55,1.11
24 Aug 2021,66.28,1.1
31 Jan 2021,65.92,1.1
12 Aug 2021,65.86,1.1
20 Aug 2021,64.03,1.07
08 Jul 2021,63.73,1.06
08 Sep 2021,63.72,1.06
29 Apr 2021,63.34,1.06
12 Jun 2021,62.21,1.04
09 May 2021,60.7,1.01
29 Aug 2021,60.66,1.01
19 Jun 2021,56.36,0.94
15 Sep 2021,55.8,0.93
14 Jun 2021,55.0,0.92
19 Aug 2021,54.69,0.91
05 Aug 2021,53.77,0.9
25 Jul 2021,52.79,0.88
26 Jun 2021,51.9,0.87
03 Jun 2021,50.64,0.84
02 Jun 2021,50.12,0.84
20 May 2021,49.31,0.82
03 May 2021,49.13,0.82
11 Jun 2021,48.87,0.81
10 Jun 2021,48.54,0.81
01 May 2021,45.91,0.77
25 May 2021,43.22,0.72
19 May 2021,42.79,0.71
16 Aug 2021,41.17,0.69
30 May 2021,41.02,0.68
31 Jul 2021,40.32,0.67
08 Aug 2021,39.02,0.65
19 Jul 2021,38.63,0.64
17 Aug 2021,36.25,0.6
06 Jan 2021,35.11,0.59
17 May 2021,34.13,0.57
27 May 2021,31.78,0.53
12 Jul 2021,27.92,0.47
26 Aug 2021,26.79,0.45
20 Jun 2021,26.25,0.44
28 Apr 2021,24.98,0.42
23 Aug 2021,24.77,0.41
28 May 2021,24.47,0.41
02 May 2021,23.22,0.39
30 Apr 2021,18.33,0.31
23 Apr 2021,17.57,0.29
