trackName,Minutes Played
my future,3.5
Back To You,3.5
If I Can't Have You,3.47
Everybody Dies,3.44
Clean,3.36
willow - 90's trend remix,3.35
The Greatest Reward,3.3200000000000003
Music To My Eyes,3.32
Tell Me Why (Taylor’s Version),3.3
Billie Bossa Nova,3.28
Lonely (with benny blanco),3.26
Male Fantasy,3.26
COPYCAT,3.25
Beeti Na Bitai Raina,3.23
The Reason,3.14
The Feels,3.13
The Other Side Of The Door (Taylor’s Version),3.13
2002,3.12
Used to This,3.11
"10,000 Hours (with Justin Bieber)",3.1
Nature Boy,3.0900000000000003
All My Favorite People (feat. Brothers Osborne),3.03
Hallelujah,3.03
Perfectly Wrong,3.0200000000000005
Space Melody (Edward Artemyev) (feat. Leony),3.0
"Man Kyoon Behka Re Behka Aadhi Raat Ko (From ""Utsav"")",2.99
End Game,2.97
Stuck with U (with Justin Bieber),2.9699999999999998
Dress,2.92
When the Wrong One Loves You Right,2.91
White Horse,2.87
Rolling in the Deep,2.85
At My Worst,2.84
Tell Him (Duet with Barbra Streisand),2.83
State Of Grace,2.81
Skinny Love,2.7800000000000002
Love Yourself,2.74
"Kiss the Girl - From ""The Little Mermaid""/ Soundtrack Version",2.72
Love For Sale,2.71
Teach Me How To Love,2.7
Peaches (feat. Daniel Caesar & Giveon),2.6900000000000004
it’s time to go - bonus track,2.69
Someone You Loved,2.67
Kiss Me,2.66
Believers,2.65
Sign of the Times,2.62
Us,2.6
Sorry for Love,2.59
Rosyln,2.55
Arabian Nights (2019),2.53
Company,2.51
"Belle - From ""Beauty and the Beast""/Soundtrack Version",2.42
I Hate You Then I Love You (Duet with Luciano Pavarotti),2.38
A New Day Has Come - Radio Remix,2.35
My Oh My (feat. DaBaby),2.35
Sad Beautiful Tragic,2.32
mirrorball,2.32
Running Out of Roses,2.28
Happier Than Ever - Edit,2.28
Stronger,2.27
Visiting Hours,2.2
Despacito,2.2
On The Ground,2.2
Miles to Go (Before I Sleep),2.17
Nervous,2.17
Anchor,2.1500000000000004
"How Far I'll Go - From ""Moana""",2.15
CAN THEY HEAR US (From ‘Gully’ with original Daniel Heath Score),2.14
Lose You To Love Me,2.1399999999999997
Falling,2.12
‘tis the damn season,2.0700000000000003
Belle,2.07
the lakes,2.05
Purpose,2.0300000000000002
Where Is the Love,2.0
Drunk,1.98
Get Used To It,1.97
2 Much,1.95
Geraldene,1.9
"Word of the Day: January 26, 2021",1.87
The Best Day (Taylor’s Version),1.86
All I Want Is You,1.86
Dive,1.82
Be the Man (On This Night) - English Version,1.81
Dear John,1.81
Don't Wanna Let You Down,1.81
Goodbye's (The Saddest Word),1.79
Not My Responsibility,1.79
Jump Start,1.78
Can’t Take My Eyes Off You - BBC Live Version,1.78
When I Need You,1.77
Shape of You (feat. Nyla & Kranium) - Major Lazer Remix,1.77
Shape of You - Stormzy Remix,1.77
Where Are Ü Now (with Justin Bieber),1.76
Routine,1.76
The Colour Of My Love,1.73
Safe & Sound - from The Hunger Games Soundtrack,1.72
We're Good,1.71
No Te Enamores - Alan Walker Remix,1.7
No Pressure,1.67
"Main Titles - The Little Mermaid - From ""The Little Mermaid""/Score",1.67
Mercy - Acoustic,1.64
One Less Lonely Girl,1.63
No Sense,1.61
right where you left me - bonus track,1.6099999999999999
You’re Not Sorry (Taylor’s Version),1.6099999999999999
I Will Spend My Whole Life Loving You,1.59
Fifteen,1.58
Give Me Love,1.56
the lakes - bonus track,1.55
epiphany,1.55
Change (Taylor’s Version),1.5
Shape Of You,1.49
24 Hours,1.49
Finish Lines,1.48
ilomilo - Live From The Film - Billie Eilish: The World’s A Little Blurry,1.48
Unison,1.46
Chasing After You (with Maren Morris),1.45
No Sugar Coated Love (oomiee Remix),1.45
The Middle,1.45
In My Blood,1.45
Love Can Move Mountains,1.44
For Emma,1.42
Today Was A Fairytale (Taylor’s Version),1.41
She,1.41
GIRL,1.39
Man Dole Mera Tan Dole,1.38
"Rain, Tax (It's Inevitable)",1.37
Saagar Kinare - Saagar / Soundtrack Version,1.37
Habitual,1.36
Should've Said No,1.33
Beautiful Eyes - Live From Clear Channel Stripped 2008,1.33
Feel It Twice,1.32
Born to Make You Happy,1.32
"i hate u, i love u (feat. olivia o'brien)",1.31
Into the West,1.31
willow - lonely witch version,1.31
Don’t Go (with Justin Bieber & Don Toliver),1.29
Jump Then Fall,1.29
I Wish You Would,1.28
Cruel Summer,1.28
Bumper Cars,1.28
everything i wanted,1.28
Picture To Burn,1.2799999999999998
Hold On,1.27
A Perfectly Good Heart,1.26
Stay Stay Stay,1.26
"Aún existe amor - Spanish version of ""L'amour existe encore""",1.24
Liar,1.23
Friends (with BloodPop®),1.23
Introduction,1.23
lovely (with Khalid),1.22
I'll Show You,1.21
When We Were Young,1.21
Dynamite,1.19
This Love,1.19
She Loves Control,1.17
I'll Call You Mine,1.17
Despacito - Remix,1.16
Serotonin,1.16
(If There Was) Any Other Way,1.15
So This Is Love: Waltz,1.13
Courage,1.11
Should've Said It,1.1
A Little Too Much,1.1
Make You Happy,1.09
Perfect Duet (Ed Sheeran & Beyoncé),1.09
I See the Light,1.08
Confident,1.07
Prayer,1.07
Seduces Me,1.06
Super Love,1.05
illicit affairs,1.04
At Last,1.04
Strongest (Alan Walker Remix),1.04
The Climb,1.04
august - the long pond studio sessions,1.03
Wherever You Go,1.02
Sweet but Psycho,1.01
Some Things Never Change,1.01
Speak Now,1.0
Grade 8,1.0
Cold Heart - The Blessed Madonna Remix,0.99
Hold Me While You Wait,0.97
"Hey, Ma",0.96
long story short,0.96
Lost Control,0.95
Don't Go Knockin' on My Door,0.95
Sing,0.9400000000000001
No Time To Die,0.94
"Waiting for the Lights - From ""Tangled""/Score",0.94
Skyfall,0.93
Castle on the Hill,0.93
Ten Days,0.92
"Kingdom Dance - From ""Tangled""/Score",0.92
All Around Me,0.9199999999999999
Fearless - Commentary,0.91
Gold Rush - Deluxe Edition,0.89
"If You Leave - From ""Pretty In Pink""",0.89
Savage Love (Laxed – Siren Beat) [BTS Remix],0.89
Just for Now,0.88
Sweet Creature,0.88
One Moment in Time - Remastered,0.88
White Trash,0.88
Can’t Imagine,0.87
Don't,0.86
Crazy In Love (feat. Jay-Z),0.85
Gorgeous,0.85
The Outside,0.84
I Feel Too Much,0.81
Eraser,0.81
Hearts Don't Break Around Here,0.79
Declaration Of Love,0.79
Forever & Always (Piano Version) (Taylor’s Version),0.7899999999999999
"I: Eatin' Kids & Killin' Dads, an Introduction to Greek Mythology",0.78
Mark My Words,0.77
Trust,0.77
"Word of the Day: January 25, 2021",0.76
All That Matters,0.76
Rewrite The Stars,0.75
Womanizer,0.75
"Ayegaa Ayegaa Anewaalaa, From ''Mahal''",0.74
Breathe on Me,0.74
Love The Way You Lie,0.74
Golden,0.74
ivy,0.73
Wake Me Up,0.71
this is how you fall in love,0.71
Cold As You,0.7
Wants and Needs (feat. Lil Baby),0.69
All These Years,0.68
We Are,0.68
Symphony Heartbeat,0.68
Loved Me Back to Life,0.68
Mere Sapnon Ki Rani,0.67
There She Go (feat. Lil Uzi Vert),0.67
Shirtsleeves,0.66
Love Me Like You Do,0.66
Cry,0.65
Before You Go,0.64
Falling Like The Stars,0.64
I'm Only Me When I'm With You,0.64
Mere Naseeb Mein - Naseeb / Soundtrack Version,0.63
Always (Radio Edit),0.62
This,0.62
Gimme More,0.61
Holocene,0.61
STAY (with Justin Bieber),0.61
U.N.I.,0.6
The Archer,0.6
Daydreamer,0.59
Teri Bindiya Re,0.58
To Hell & Back,0.58
Mary's Song (Oh My My My),0.57
Baby It's Cold Outside (duet with Michael Bublé),0.57
Fifteen - Commentary,0.56
Take It Slow,0.56
Look Up At The Stars,0.55
Always Been You,0.54
"Belle Reprise - From ""Beauty and the Beast""/Soundtrack Version",0.54
Dream,0.53
Bad Reputation,0.52
Something Big,0.5
Levitating (feat. DaBaby),0.49
The Man,0.49
Somebody Loves Somebody,0.48
AUATC,0.48
Future Nostalgia,0.48
Intro,0.47
Song For No One,0.46
Wildest Dreams,0.45
idontwannabeyouanymore,0.45
Liability,0.43
OverHeated,0.43
Bad Blood,0.43
All Falls Down (feat. Juliander),0.43
Tere Sur Aur Mere Geet,0.42
Nina,0.41
Stay Beautiful,0.41
I Was Born to Love You,0.41
Call My Friends,0.4
Life Is Worth Living,0.39
hornylovesickmess,0.39
Suit Suit,0.39
I Like Me Better,0.38
Chahoonga Main Tujhe,0.38
22,0.38
Inside Out,0.38
Boyfriend,0.38
"I am not a woman, I'm a god",0.37
Did You Come?,0.37
Love On The Brain,0.36
Line By Line (feat. Maren Morris),0.36
I Get A Kick Out Of You,0.35
Small Bump,0.35
The Feeling,0.34
"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",0.34
Barcelona,0.34
Formation,0.34
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",0.33
First Man,0.31
Best Part of Me (feat. YEBBA),0.31
KESI - Remix,0.3
Scars To Your Beautiful,0.3
Cry for Me,0.29
I'm a Mess,0.28
"Beginning Middle End - Always and Forever Mix)(From The Netflix Film ""To All The Boys: Always and Forever""",0.28
All In It,0.27
Umbrella,0.27
Sandstorm,0.27
"You Need Me, I Don't Need You",0.26
"Peaches (Remix) feat. Ludacris, Usher & Snoop Dogg",0.26
Rich,0.25
Afire Love,0.25
Little Bird - Deluxe Edition,0.24
Ae Mere Dil - E - Nadan,0.24
Take It Back,0.22
Never Be the Same - Radio Edit,0.22
Baila Conmigo (with Rauw Alejandro),0.21
Children,0.19
We So Fly,0.19
Saphal Hogi Teri Aradhana,0.19
Dream of You,0.19
Beautiful (feat. Camila Cabello),0.18
I Forgot That You Existed,0.18
Piece Of You,0.17
Bloodstream,0.17
Kings & Queens,0.16
The City,0.16
Hero,0.16
"Ye Mulaqat Ek Bahana Hai - From ""Khandaan""",0.16
Pretty Piece Of Flesh,0.16
...Ready For It?,0.15
the last great american dynasty,0.15
Just a Little Bit of Love,0.15
Treat Her Like a Lady,0.15
Runaway,0.15
Higher,0.14
The Great Pretender,0.13
The Christmas Song (Shawn Mendes & Camila Cabello),0.13
What Am I,0.12
999 (with Camilo),0.11
Somebody To Love,0.1
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),0.1
305,0.09
Even My Dad Does Sometimes,0.09
Make You Feel My Love,0.08
The Next Right Thing,0.07
Amar haciendo el amor,0.07
"Something There - From ""Beauty and the Beast""/Soundtrack Version",0.07
(You Make Me Feel Like) A Natural Woman,0.07
"Fanfare - From ""The Little Mermaid""/Score",0.05
London Boy,0.04
So It Goes...,0.03
Easier,0.03
A Star Is Born,0.03
Love Me Like There's No Tomorrow - Special Edition,0.03
All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,0.03
I Did Something Bad,0.03
Mere Naina Sawan Bhadon,0.01
Tell Me Why - Commentary,0.01
willow - dancing witch version (Elvira remix),0.0
When I Look At You,0.0
Joanne (Where Do You Think You're Goin'?) - Piano Version,0.0
"Bedtime - From ""The Little Mermaid""/Score",0.0
dorothea,0.0
Daylight,0.0
Let Me Love You - R3hab Remix,0.0
Galway Girl,0.0
Latter Days (feat. Anaïs Mitchell),0.0
Be Alright,0.0
