trackName,Minutes Played
willow,1258.3999999999996
evermore (feat. Bon Iver),1191.0900000000017
exile (feat. Bon Iver),1124.0299999999982
august,1069.2900000000002
Enchanted,1019.1800000000004
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),995.1199999999953
Let's Talk About Love,901.7900000000016
Untouchable (Taylor’s Version),856.1800000000017
Afterglow,832.6100000000012
Delicate,831.0900000000006
champagne problems,828.1900000000027
Perfect,790.8799999999984
Shape of You,786.799999999997
The Bones - with Hozier,746.0499999999989
Where Were You In The Morning?,693.43
Darkside,683.5499999999971
A Thousand Years,666.2499999999997
All Too Well,631.3100000000005
I'm Alive,630.93
"My Heart Will Go On - Love Theme from ""Titanic""",619.9899999999997
Señorita,595.5199999999994
Faded,589.1100000000005
The Power of Love,574.8499999999996
Levitating,572.8499999999984
Lover,565.0400000000002
Red,547.2000000000013
Right In Front of You,544.320000000001
cardigan,538.0000000000008
Blank Space,526.8100000000011
Fearless,489.23999999999864
Shallow - Radio Edit,488.0700000000004
Anyone,482.2400000000007
Our Song,465.6000000000008
Teardrops On My Guitar - Radio Single Remix,456.4299999999996
There's Nothing Holdin' Me Back,447.5199999999993
I Surrender,447.31000000000057
Don't Go Yet,445.52
tolerate it,440.67999999999915
A Whole New World,435.51000000000073
Settling Down,423.9900000000007
Tim McGraw,412.8300000000001
Love Story,410.47000000000025
Tenerife Sea,399.66999999999973
Style,396.8900000000002
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),392.88000000000073
Always Remember Us This Way,391.98
It's All Coming Back to Me Now,387.62000000000046
The Bones,367.8100000000004
"I See the Light - From ""Tangled"" / Soundtrack Version",361.9500000000005
You Belong With Me,337.04000000000025
Mercy,325.60999999999973
Watermelon Sugar,306.4099999999999
mad woman,302.56999999999965
this is me trying,287.71
Wolves,285.6900000000005
betty,282.03
hoax,281.2399999999998
Where Does My Heart Beat Now,278.79000000000025
"Because You Loved Me (Theme from ""Up Close and Personal"")",269.5300000000001
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",259.53000000000026
I Think He Knows,256.37999999999954
ME! (feat. Brendon Urie of Panic! At The Disco),248.96999999999994
invisible string,246.9100000000001
Don't Start Now,242.25000000000037
the 1,227.17
Shameless,204.61999999999992
Bad Habits,204.58999999999992
We Were Happy (Taylor’s Version) (From The Vault),201.3399999999998
Lost You,189.35000000000005
Living Proof,173.02000000000004
Fake A Smile,166.37000000000006
"Let It Go - From ""Frozen""/Soundtrack Version",152.74999999999997
Alone,151.29
my tears ricochet,150.51
Criminal,141.73000000000002
How Does A Moment Last Forever,135.15999999999994
Fearless (Taylor’s Version),131.41000000000003
"Million To One - from the Amazon Original Movie ""Cinderella""",123.02000000000004
Bluebird,121.49000000000002
You Belong With Me (Taylor’s Version),119.91999999999993
Love Story (Taylor’s Version),117.26000000000008
I'll Never Love Again - Extended Version,115.64000000000004
I Won't Say (I'm In Love),109.68000000000009
Thinking out Loud,98.64
Jump Then Fall (Taylor’s Version),97.06999999999995
Rain On Me (with Ariana Grande),95.92000000000004
On My Way,88.79
Mean,84.44999999999999
Sing Me to Sleep,82.31
The Spectre,79.04999999999998
Havana (feat. Young Thug),76.47999999999999
Immortality (feat. Bee Gees),64.16999999999999
White Horse (Taylor’s Version),63.86999999999999
All By Myself,59.81000000000001
"Beauty and the Beast - From ""Beauty and the Beast"" / Duet",54.849999999999994
Your Power,49.46000000000001
Forever & Always (Taylor’s Version),48.83
peace,48.56999999999999
Lily,48.04999999999998
"Alone, Pt. II",47.61999999999998
Happier Than Ever,46.59000000000001
Sorry,46.019999999999996
Oops!...I Did It Again,45.44000000000001
Getaway Car,37.37
Falling Into You,34.75
This Is Why We Can't Have Nice Things,32.79
Shallow,30.870000000000005
Mistletoe,29.880000000000006
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),29.509999999999994
Toxic,28.15
Treat You Better,27.13
Autumn Leaves - Deluxe Edition,26.759999999999998
The A Team,25.669999999999995
I'll Never Love - Extended Version - Radio Edit,24.54
Into the Unknown,22.79
I Knew You Were Trouble.,22.360000000000003
Lego House,21.990000000000002
We Are Never Ever Getting Back Together,20.810000000000002
Shake It Off,19.43
Show Yourself,17.4
Hey Stephen (Taylor’s Version),17.35
You'll Be In My Heart,17.310000000000002
One,16.68
Bad Romance,16.59
Sweet Dreams,16.32
Tired,16.049999999999997
Lag Ja Gale Se Phir,15.41
...Baby One More Time,15.229999999999999
Bhor Bhaye Panghat Pe,14.96
Go the Distance,14.690000000000001
Real Friends,14.530000000000001
Breathe (feat. Colbie Caillat) (Taylor’s Version),14.45
Let Me Love You,13.700000000000001
Rahen Na Rahen,13.29
Dancing With Our Hands Tied,12.53
Speechless (Full),11.83
All Is Found,11.45
Bye Bye Baby (Taylor’s Version) (From The Vault),11.08
Chup Gaye Sare Nazare,10.98
Photograph,10.85
Oxytocin,10.5
How Far I'll Go,10.32
Begin Again,10.170000000000002
coney island (feat. The National),10.06
Fallin' All In You,9.8
happiness,9.54
I'll Never Love Again - Film Version - Radio Edit,9.38
Lover (Remix) [feat. Shawn Mendes],9.24
Kabhi Kabhi Mere Dil Mein Duet,9.13
"Dil Hoom Hoom Kare (From ""Rudaali"") - Female Version",9.09
Never Be the Same,8.709999999999999
I Almost Do,8.55
Getting Older,8.5
Renegade (feat. Taylor Swift),8.48
Bahon Mein Chale Aao,8.06
Poker Face,7.9
Fifteen (Taylor’s Version),7.65
Someone Like You,7.579999999999998
You Need To Calm Down,7.52
Tera Saath Hai To - Lata Mangeshkar,7.36
Adore You,7.28
Ehsan Tera Hoga Mujh Par - Lata Mangeshkar,7.1
Don’t You (Taylor’s Version) (From The Vault),6.96
Don't You Hold Me Down,6.87
Mere Naina Sawan Bhadon- Lata Mangeshkar,6.85
Lost Cause,6.75
Two Worlds,6.62
Invisible,6.35
Forever & Always,5.9
A New Day Has Come,5.83
Tumhin Meri Mandir,5.82
Love Is On the Way,5.59
Wonder,5.589999999999999
Zindagi Pyar Ka Geet Hai,5.57
gold rush,5.550000000000001
Hello,5.5200000000000005
Chandni Raat Mein,5.49
What Do You Mean?,5.44
Baby,5.43
"Some Things Never Change - From ""Frozen 2""/Soundtrack Version",5.36
Shivers,5.33
Chalte Chalte Yun Hi Koi,5.32
Karvaten Badalte Rahe,5.18
Untouchable,5.18
bad guy,5.16
Loote Koi Man Ka Nagar,5.12
GOLDWING,5.06
"Touch The Sky - From ""Brave""/Soundtrack",5.04
Chalo Sajna Jhahan Tak,4.94
Come In With The Rain (Taylor’s Version),4.9399999999999995
Mujhe Teri Mohabbat Ka Sahara,4.92
Saagar Jaisi Aankhonwali - Saagar / Soundtrack Version,4.91
Monster (Shawn Mendes & Justin Bieber),4.640000000000001
NDA,4.64
Rula Ke Gaya,4.51
Easy,4.48
"no body, no crime (feat. HAIM)",4.470000000000001
"Colors of the Wind - From ""Pocahontas"" / Soundtrack Version",4.4399999999999995
Hey Stephen,4.42
Tell Me Why,4.42
Have You Ever Been In Love,4.42
I Didn't Change My Number,4.36
Dead Girl! (Shake My Head),4.35
The Way I Loved You (Taylor’s Version),4.3
Ruk Ja Raat,4.19
Death By A Thousand Cuts,4.09
South of the Border (feat. Camila Cabello & Cardi B),4.08
Sau Saal Pahle,4.08
Tied Together with a Smile,4.05
Settling Down - Acoustic,4.0
Aaj Phir Jeene Ki Tamanna Hai,3.97
I Choose - From The Netflix Original Film The Willoughbys,3.91
Halley's Comet,3.91
Don't Be A Fool,3.8700000000000006
A Place in this World,3.86
Therefore I Am,3.82
A Song for Everything,3.7
Superstar (Taylor’s Version),3.69
Why Oh Why,3.69
Wildest Dreams (Taylor's Version),3.67
Rewrite The Stars (with James Arthur & Anne-Marie),3.64
when the party's over,3.6399999999999997
Love Story (Taylor's Version) - Elvira Remix,3.63
Good Woman,3.6199999999999997
Bad Kind of Butterflies,3.58
Rainbow,3.57
Stitches,3.5599999999999996
Look What You Made Me Do,3.53
